manager_true_ultimate_parent_country_of_headquarters,financial_flow_link_strength,amount_usd_m_alpha_var,amount_usd_m,rank,pct
Switzerland,Low,22701.066663312096,27844.57195436227,11,0.025307783244255547
Switzerland,Medium,3914.1846715509546,27844.57195436227,11,0.025307783244255547
Switzerland,High,1229.320619499218,27844.57195436227,11,0.025307783244255547
Taiwan,Low,4412.191705603307,5257.5362368591195,17,0.004778546702004671
Taiwan,Medium,779.2768421073079,5257.5362368591195,17,0.004778546702004671
Taiwan,High,66.0676891485048,5257.5362368591195,17,0.004778546702004671
Thailand,Low,1128.101538075878,1128.101538075878,28,0.001025325483542327
Togo,Low,120.94682632115303,120.94682632115303,44,1.099279266936918e-4
Turkey,Medium,105.0163987949368,105.0163987949368,46,9.544884590614748e-5
United Arab Emirates,Low,3697.7722734535437,5021.838078692625,18,0.004564321900570314
United Arab Emirates,Medium,1179.5780566807055,5021.838078692625,18,0.004564321900570314
United Arab Emirates,High,144.4877485583756,5021.838078692625,18,0.004564321900570314
United Kingdom,Low,46103.82494523582,87395.03762367126,3,0.07943288452875365
United Kingdom,Medium,39511.87127873043,87395.03762367126,3,0.07943288452875365
United Kingdom,High,1779.3413997050054,87395.03762367126,3,0.07943288452875365
United States of America,Low,114100.26339497922,224924.20383888006,2,0.204432411691261
United States of America,Medium,104707.63739627825,224924.20383888006,2,0.204432411691261
United States of America,High,6116.3030476225995,224924.20383888006,2,0.204432411691261
Unknown,Low,19488.923681921744,23364.3963292666,12,0.021235775464715768
Unknown,Medium,2165.8185716900125,23364.3963292666,12,0.021235775464715768
Unknown,High,1709.6540756548443,23364.3963292666,12,0.021235775464715768
