,GID,exporter_group,Adjusted_deforestation_exposure,Producer country,Year,Commodity
56,BOL.8.12_2,PROCESSED DOMESTICALLY,102.31231131706392,Bolivia,2020,Soya beans
57,BOL.8.12_2,SOYPEANUTS SRL,3.9323455299549237,Bolivia,2020,Soya beans
58,BOL.8.12_2,SUPERGRAIN SRL,42.01010918046024,Bolivia,2020,Soya beans
59,BOL.8.12_2,TITO TIBURCIO POCOMANI MEDRANO - INVERSIONES AGROPECUARIAS SAMARY-INAGROS IMPORT-EXPORT,2.9040775746819514,Bolivia,2020,Soya beans
60,BOL.8.12_2,UNKNOWN,12.387327010827795,Bolivia,2020,Soya beans
61,BOL.8.12_2,VEIZAGA MICHEL RENAN - IMPORT EXPORT SEIJI,3.4072023315282394,Bolivia,2020,Soya beans
62,BOL.8.14_2,AGROINDUSTRIA CAICO SA,191.77917140704758,Bolivia,2020,Soya beans
63,BOL.8.14_2,AGROINDUSTRIAS VARGAS GOMEZ GARCIA SRL,0.8601780914828382,Bolivia,2020,Soya beans
64,BOL.8.14_2,AGROTRAM SRL,18.283122319002526,Bolivia,2020,Soya beans
65,BOL.8.14_2,CALIDAD FREJOLERA BOLIVIANA IMPORT EXPORT SRL,1.0442262866809093,Bolivia,2020,Soya beans
66,BOL.8.14_2,CARGILL,431.5740637935887,Bolivia,2020,Soya beans
67,BOL.8.14_2,GRAVETAL BOLIVIA SA,1611.0783764361584,Bolivia,2020,Soya beans
68,BOL.8.14_2,INDUSTRIAS DE ACEITE S.A.,274.02829978977775,Bolivia,2020,Soya beans
69,BOL.8.14_2,INDUSTRIAS OLEAGINOSAS S.A.,1110.2020866683895,Bolivia,2020,Soya beans
70,BOL.8.14_2,PROCESADORA DE GRANOS & ALIMENTOS GRAN ALIMENTO SRL,154.7139792608849,Bolivia,2020,Soya beans
71,BOL.8.14_2,PROCESSED DOMESTICALLY,1660.6593050982813,Bolivia,2020,Soya beans
72,BOL.8.14_2,UNKNOWN,1112.2356116862443,Bolivia,2020,Soya beans
73,BOL.8.15_2,AGROINDUSTRIAS VARGAS GOMEZ GARCIA SRL,0.002186091495868784,Bolivia,2020,Soya beans
74,BOL.8.15_2,AGROTRAM SRL,0.046465468738688065,Bolivia,2020,Soya beans
75,BOL.8.15_2,CALIDAD FREJOLERA BOLIVIANA IMPORT EXPORT SRL,0.0026538390452848664,Bolivia,2020,Soya beans
76,BOL.8.15_2,DANIELA BEATRIZ PUALUAN COLMAN - COURRIERS INTER-ESPANA,1.3230490433892286e-05,Bolivia,2020,Soya beans
77,BOL.8.15_2,DHL BOLIVIA SRL,6.836827013080522e-05,Bolivia,2020,Soya beans
78,BOL.8.15_2,EMPRESA DE TRANSFORMACION AGROINDUSTRIAL SA - ETASA,0.7276558775921176,Bolivia,2020,Soya beans
79,BOL.8.15_2,INDUSTRIAS DE ACEITE S.A.,1.2327948529647983,Bolivia,2020,Soya beans
80,BOL.8.15_2,INDUSTRIAS OLEAGINOSAS S.A.,0.34210344081195915,Bolivia,2020,Soya beans
81,BOL.8.15_2,PROCESADORA DE GRANOS & ALIMENTOS GRAN ALIMENTO SRL,0.44289503626823085,Bolivia,2020,Soya beans
82,BOL.8.15_2,PROCESSED DOMESTICALLY,12.521521428933843,Bolivia,2020,Soya beans
83,BOL.8.15_2,UNKNOWN,6.446101465730453,Bolivia,2020,Soya beans
84,BOL.8.1_2,EMPRESA DE TRANSFORMACION AGROINDUSTRIAL SA - ETASA,14.523909196361352,Bolivia,2020,Soya beans
85,BOL.8.1_2,INDUSTRIAS DE ACEITE S.A.,0.2833777001543275,Bolivia,2020,Soya beans
86,BOL.8.1_2,PROCESSED DOMESTICALLY,83.25930142584221,Bolivia,2020,Soya beans
87,BOL.8.1_2,UNKNOWN,4.096243403094066,Bolivia,2020,Soya beans
88,BOL.8.3_2,CARGILL,503.1447364232881,Bolivia,2020,Soya beans
89,BOL.8.3_2,GRAVETAL BOLIVIA SA,1878.2537531192343,Bolivia,2020,Soya beans
90,BOL.8.3_2,HUGO SPECHAR GONZALES - GRANOS,641.7766632979109,Bolivia,2020,Soya beans
91,BOL.8.3_2,INDUSTRIAS DE ACEITE S.A.,136.18184510962882,Bolivia,2020,Soya beans
