commodity,producer_country,manager_country_grouped,financial_flow_link_strength,total_usd_m_normalised_to_sei_trase_by_strength,total_usd_m_normalised_to_sei_trase,rank,manager_country_grouped_link_strength_pct
Cattle meat,Brazil,Brazil,High,960.5815183035205,1839.090218033227,2,0.5223134291534607
Cattle meat,Brazil,Brazil,Low,551.3892367726897,1839.090218033227,2,0.299816306653167
Cattle meat,Brazil,Brazil,Medium,327.1194629570167,1839.090218033227,2,0.17787026419337226
Cattle meat,Brazil,Canada,High,14.272607542682897,490.55848253162304,5,0.02909460961520085
Cattle meat,Brazil,Canada,Medium,476.2858749889402,490.55848253162304,5,0.9709053903847992
Cattle meat,Brazil,China,High,11.626916999456002,35.59552092656502,9,0.3266398888625003
Cattle meat,Brazil,China,Low,15.962388807880199,35.59552092656502,9,0.4484381290784097
Cattle meat,Brazil,China,Medium,8.00621511922882,35.59552092656502,9,0.22492198205908998
Cattle meat,Brazil,EU27,High,462.90547914341414,1625.5570897089876,3,0.28476728505812426
Cattle meat,Brazil,EU27,Low,273.48820154017045,1625.5570897089876,3,0.16824275398972988
Cattle meat,Brazil,EU27,Medium,889.1634090254031,1625.5570897089876,3,0.5469899609521459
Cattle meat,Brazil,Japan,High,59.320431222481545,103.35137382636236,8,0.573968482723259
Cattle meat,Brazil,Japan,Low,23.51793332769484,103.35137382636236,8,0.22755317570530448
Cattle meat,Brazil,Japan,Medium,20.51300927618595,103.35137382636236,8,0.19847834157143632
Cattle meat,Brazil,Other countries,High,27.841243343660384,NA,NA,NA
Cattle meat,Brazil,Other countries,Medium,8.762518447939028,NA,NA,NA
Cattle meat,Brazil,Switzerland,High,17.811040903127854,112.17150556662928,7,0.1587840050212056
Cattle meat,Brazil,Switzerland,Low,17.740810381423795,112.17150556662928,7,0.15815790553765768
Cattle meat,Brazil,Switzerland,Medium,76.61965428207763,112.17150556662928,7,0.6830580894411368
Cattle meat,Brazil,Taiwan,High,14.034362629587651,14.034362629587651,10,1
Cattle meat,Brazil,United Kingdom,High,100.08280433755307,577.194356931396,4,0.1733953271297292
Cattle meat,Brazil,United Kingdom,Low,153.20463996269638,577.194356931396,4,0.2654298991715644
Cattle meat,Brazil,United Kingdom,Medium,323.9069126311466,577.194356931396,4,0.5611747736987066
Cattle meat,Brazil,United States of America,High,366.29076262553576,2021.1951530622189,1,0.18122483723087582
Cattle meat,Brazil,United States of America,Low,178.24690509360573,2021.1951530622189,1,0.08818886430810609
Cattle meat,Brazil,United States of America,Medium,1476.6574853430764,2021.1951530622189,1,0.7305862984610176
Cattle meat,Brazil,Unknown,High,135.057943763779,303.8811149444153,6,0.44444335999123624
Cattle meat,Brazil,Unknown,Low,6.150753435870252,303.8811149444153,6,0.02024065706417894
Cattle meat,Brazil,Unknown,Medium,162.67241774476605,303.8811149444153,6,0.5353159829445848
Cattle meat,Colombia,Brazil,High,0.7185370391060564,41.56061304855636,2,0.017288894133168118
Cattle meat,Colombia,Brazil,Medium,40.84207600945031,41.56061304855636,2,0.982711105866832
Cattle meat,Colombia,EU27,Medium,14.60571526802106,14.60571526802106,4,1
Cattle meat,Colombia,Switzerland,Medium,6.207055838250719,6.207055838250719,6,1
Cattle meat,Colombia,United Kingdom,High,2.9784782379013253,19.228140693255952,3,0.15490204099380198
Cattle meat,Colombia,United Kingdom,Medium,16.249662455354624,19.228140693255952,3,0.8450979590061979
Cattle meat,Colombia,United States of America,Medium,157.3127783493465,157.3127783493465,1,1
Cattle meat,Colombia,Unknown,High,8.882962470579507,9.973822701357037,5,0.8906276697069111
Cattle meat,Colombia,Unknown,Medium,1.0908602307775301,9.973822701357037,5,0.10937233029308892
Cocoa beans,Ecuador,Australia,Low,124.16155476491538,1023.5654686685812,9,0.12130299288664013
Cocoa beans,Ecuador,Australia,Medium,899.4039139036657,1023.5654686685812,9,0.8786970071133599
Cocoa beans,Ecuador,Canada,Low,395.0166637853494,2366.6287954328573,8,0.16691112038679506
Cocoa beans,Ecuador,Canada,Medium,1971.6121316475073,2366.6287954328573,8,0.8330888796132048
Cocoa beans,Ecuador,China,Low,47.69912221571537,233.35586331367662,10,0.2044050727433331
Cocoa beans,Ecuador,China,Medium,185.6567410979613,233.35586331367662,10,0.795594927256667
Cocoa beans,Ecuador,EU27,High,20.25154556922316,9752.930927210542,2,0.0020764573973062425
Cocoa beans,Ecuador,EU27,Low,2206.951175694996,9752.930927210542,2,0.22628594339139968
Cocoa beans,Ecuador,EU27,Medium,7525.728205946295,9752.930927210542,2,0.7716375992112913
Cocoa beans,Ecuador,Japan,Low,843.0242670156127,2927.967138659558,7,0.2879213553610969
Cocoa beans,Ecuador,Japan,Medium,2084.9428716439443,2927.967138659558,7,0.7120786446389028
Cocoa beans,Ecuador,Other countries,High,40.50309113844632,NA,NA,NA
Cocoa beans,Ecuador,Other countries,Low,174.91808736108752,NA,NA,NA
Cocoa beans,Ecuador,Other countries,Medium,265.706134062686,NA,NA,NA
Cocoa beans,Ecuador,Singapore,Low,3687.6894670266665,4279.298234097992,6,0.861750984692464
Cocoa beans,Ecuador,Singapore,Medium,591.6087670713246,4279.298234097992,6,0.1382490153075359
Cocoa beans,Ecuador,Switzerland,Low,683.8790016314723,5119.011552644167,5,0.1335959090145484
Cocoa beans,Ecuador,Switzerland,Medium,4435.132551012696,5119.011552644167,5,0.8664040909854519
Cocoa beans,Ecuador,United Kingdom,Low,2585.461134444297,7385.115642042276,3,0.35009081235311773
Cocoa beans,Ecuador,United Kingdom,Medium,4799.6545075979875,7385.115642042276,3,0.6499091876468834
Cocoa beans,Ecuador,United States of America,Low,2729.50308490437,10181.065451716768,1,0.2680960158687627
Cocoa beans,Ecuador,United States of America,Medium,7451.562366812391,10181.065451716768,1,0.7319039841312367
Cocoa beans,Ecuador,Unknown,Low,1684.9981325101853,6452.361949850997,4,0.2611443910937291
