manager_true_ultimate_parent_region_of_headquarters_unsd,asset_class,financial_flow_link_strength,total_usd_m,region_for_plot,asset_class_for_plot
Africa,Equity deals,Low,10.750691207710869,"Africa 
(US$7,494m)","Equity deals 
(US$59,785m)"
Africa,Loan deals,High,104.29739710409216,"Africa 
(US$7,494m)","Loan deals 
(US$964,338m)"
Africa,Loan deals,Low,7048.920360909137,"Africa 
(US$7,494m)","Loan deals 
(US$964,338m)"
Africa,Loan deals,Medium,330.38843591543963,"Africa 
(US$7,494m)","Loan deals 
(US$964,338m)"
Asia,Bond deals,High,520.9214421865464,"Asia 
(US$424,418m)","Bond deals 
(US$356,157m)"
Asia,Bond deals,Low,71525.8974980493,"Asia 
(US$424,418m)","Bond deals 
(US$356,157m)"
Asia,Bond deals,Medium,13031.699606229355,"Asia 
(US$424,418m)","Bond deals 
(US$356,157m)"
Asia,Equity deals,High,0,"Asia 
(US$424,418m)","Equity deals 
(US$59,785m)"
Asia,Equity deals,Low,4349.481660139499,"Asia 
(US$424,418m)","Equity deals 
(US$59,785m)"
Asia,Equity deals,Medium,2025.2741027157915,"Asia 
(US$424,418m)","Equity deals 
(US$59,785m)"
Asia,Loan deals,High,5029.856547114183,"Asia 
(US$424,418m)","Loan deals 
(US$964,338m)"
Asia,Loan deals,Low,266875.5216607258,"Asia 
(US$424,418m)","Loan deals 
(US$964,338m)"
Asia,Loan deals,Medium,61059.577491147575,"Asia 
(US$424,418m)","Loan deals 
(US$964,338m)"
Europe,Bond deals,High,5861.335646827635,"Europe 
(US$491,603m)","Bond deals 
(US$356,157m)"
Europe,Bond deals,Low,82467.05029896171,"Europe 
(US$491,603m)","Bond deals 
(US$356,157m)"
Europe,Bond deals,Medium,51388.17745003883,"Europe 
(US$491,603m)","Bond deals 
(US$356,157m)"
Europe,Equity deals,High,1494.7680009055475,"Europe 
(US$491,603m)","Equity deals 
(US$59,785m)"
Europe,Equity deals,Low,11912.043186006007,"Europe 
(US$491,603m)","Equity deals 
(US$59,785m)"
Europe,Equity deals,Medium,2325.7927964247297,"Europe 
(US$491,603m)","Equity deals 
(US$59,785m)"
Europe,Loan deals,High,12335.14114647552,"Europe 
(US$491,603m)","Loan deals 
(US$964,338m)"
Europe,Loan deals,Low,170794.39472584543,"Europe 
(US$491,603m)","Loan deals 
(US$964,338m)"
Europe,Loan deals,Medium,153024.33652038273,"Europe 
(US$491,603m)","Loan deals 
(US$964,338m)"
Latin America and the Caribbean,Bond deals,High,11650.353932965829,"Latin America and the Caribbean 
(US$39,017m)","Bond deals 
(US$356,157m)"
Latin America and the Caribbean,Bond deals,Low,7029.923331829462,"Latin America and the Caribbean 
(US$39,017m)","Bond deals 
(US$356,157m)"
Latin America and the Caribbean,Bond deals,Medium,6434.777267333487,"Latin America and the Caribbean 
(US$39,017m)","Bond deals 
(US$356,157m)"
Latin America and the Caribbean,Equity deals,High,5331.736105139586,"Latin America and the Caribbean 
(US$39,017m)","Equity deals 
(US$59,785m)"
Latin America and the Caribbean,Equity deals,Low,113.0122769138098,"Latin America and the Caribbean 
(US$39,017m)","Equity deals 
(US$59,785m)"
Latin America and the Caribbean,Equity deals,Medium,86.67633678771786,"Latin America and the Caribbean 
(US$39,017m)","Equity deals 
(US$59,785m)"
Latin America and the Caribbean,Loan deals,High,1973.8175811797983,"Latin America and the Caribbean 
(US$39,017m)","Loan deals 
(US$964,338m)"
Latin America and the Caribbean,Loan deals,Low,3357.8562485538678,"Latin America and the Caribbean 
(US$39,017m)","Loan deals 
(US$964,338m)"
Latin America and the Caribbean,Loan deals,Medium,3038.3890403431897,"Latin America and the Caribbean 
(US$39,017m)","Loan deals 
(US$964,338m)"
Northern America,Bond deals,High,4400.3256455693245,"Northern America 
(US$334,228m)","Bond deals 
(US$356,157m)"
Northern America,Bond deals,Low,58736.273499339826,"Northern America 
(US$334,228m)","Bond deals 
(US$356,157m)"
Northern America,Bond deals,Medium,38372.23884002597,"Northern America 
(US$334,228m)","Bond deals 
(US$356,157m)"
