manager_true_ultimate_parent_region_of_headquarters_unsd,asset_class,financial_flow_link_strength,total_usd_m,region_for_plot,asset_class_for_plot
Africa,Equity deals,Low,10.750691207710869,"Africa 
(US$8,688m)","Equity deals 
(US$81,197m)"
Africa,Loan deals,High,123.80623853442468,"Africa 
(US$8,688m)","Loan deals 
(US$1,272,575m)"
Africa,Loan deals,Low,8007.398285830263,"Africa 
(US$8,688m)","Loan deals 
(US$1,272,575m)"
Africa,Loan deals,Medium,545.825560542353,"Africa 
(US$8,688m)","Loan deals 
(US$1,272,575m)"
Asia,Bond deals,High,773.564126599562,"Asia 
(US$564,496m)","Bond deals 
(US$511,937m)"
Asia,Bond deals,Low,93987.19719057245,"Asia 
(US$564,496m)","Bond deals 
(US$511,937m)"
Asia,Bond deals,Medium,19989.33200989879,"Asia 
(US$564,496m)","Bond deals 
(US$511,937m)"
Asia,Equity deals,High,0,"Asia 
(US$564,496m)","Equity deals 
(US$81,197m)"
Asia,Equity deals,Low,13437.06417836151,"Asia 
(US$564,496m)","Equity deals 
(US$81,197m)"
Asia,Equity deals,Medium,3754.579017136648,"Asia 
(US$564,496m)","Equity deals 
(US$81,197m)"
Asia,Loan deals,High,5819.999714334271,"Asia 
(US$564,496m)","Loan deals 
(US$1,272,575m)"
Asia,Loan deals,Low,345130.92423441715,"Asia 
(US$564,496m)","Loan deals 
(US$1,272,575m)"
Asia,Loan deals,Medium,81603.23788576212,"Asia 
(US$564,496m)","Loan deals 
(US$1,272,575m)"
Europe,Bond deals,High,9262.138677287176,"Europe 
(US$662,691m)","Bond deals 
(US$511,937m)"
Europe,Bond deals,Low,125892.28663268172,"Europe 
(US$662,691m)","Bond deals 
(US$511,937m)"
Europe,Bond deals,Medium,72342.5665310088,"Europe 
(US$662,691m)","Bond deals 
(US$511,937m)"
Europe,Equity deals,High,3469.4123088484666,"Europe 
(US$662,691m)","Equity deals 
(US$81,197m)"
Europe,Equity deals,Low,14073.651529829727,"Europe 
(US$662,691m)","Equity deals 
(US$81,197m)"
Europe,Equity deals,Medium,4333.27760728582,"Europe 
(US$662,691m)","Equity deals 
(US$81,197m)"
Europe,Loan deals,High,14737.562783675274,"Europe 
(US$662,691m)","Loan deals 
(US$1,272,575m)"
Europe,Loan deals,Low,205047.19560371095,"Europe 
(US$662,691m)","Loan deals 
(US$1,272,575m)"
