manager_true_ultimate_parent_region_of_headquarters_unsd,asset_class,financial_flow_link_strength,total_usd_m,region_for_plot,asset_class_for_plot
Africa,Equity deals,Low,10.750691207710869,"Africa 
(US$9,111m)","Equity deals 
(US$84,114m)"
Africa,Loan deals,High,135.60853538335869,"Africa 
(US$9,111m)","Loan deals 
(US$1,317,952m)"
Africa,Loan deals,Low,8418.55409210575,"Africa 
(US$9,111m)","Loan deals 
(US$1,317,952m)"
Africa,Loan deals,Medium,546.0650347078399,"Africa 
(US$9,111m)","Loan deals 
(US$1,317,952m)"
Asia,Bond deals,High,916.5305073436801,"Asia 
(US$568,183m)","Bond deals 
(US$582,326m)"
Asia,Bond deals,Low,99202.0677042402,"Asia 
(US$568,183m)","Bond deals 
(US$582,326m)"
Asia,Bond deals,Medium,21344.65937362033,"Asia 
(US$568,183m)","Bond deals 
(US$582,326m)"
Asia,Equity deals,High,0,"Asia 
(US$568,183m)","Equity deals 
(US$84,114m)"
Asia,Equity deals,Low,5099.332168705965,"Asia 
(US$568,183m)","Equity deals 
(US$84,114m)"
Asia,Equity deals,Medium,2523.7063067955482,"Asia 
(US$568,183m)","Equity deals 
(US$84,114m)"
Asia,Loan deals,High,5983.69250053904,"Asia 
(US$568,183m)","Loan deals 
(US$1,317,952m)"
Asia,Loan deals,Low,348828.6474459568,"Asia 
(US$568,183m)","Loan deals 
(US$1,317,952m)"
Asia,Loan deals,Medium,84284.29996791412,"Asia 
(US$568,183m)","Loan deals 
(US$1,317,952m)"
Europe,Bond deals,High,10588.035565661758,"Europe 
(US$722,017m)","Bond deals 
(US$582,326m)"
Europe,Bond deals,Low,153536.15239916454,"Europe 
(US$722,017m)","Bond deals 
(US$582,326m)"
Europe,Bond deals,Medium,78236.00057083846,"Europe 
(US$722,017m)","Bond deals 
(US$582,326m)"
Europe,Equity deals,High,3650.4876708204783,"Europe 
(US$722,017m)","Equity deals 
(US$84,114m)"
Europe,Equity deals,Low,13357.779278600348,"Europe 
(US$722,017m)","Equity deals 
(US$84,114m)"
Europe,Equity deals,Medium,4163.499606610212,"Europe 
(US$722,017m)","Equity deals 
(US$84,114m)"
Europe,Loan deals,High,15573.9160670466,"Europe 
(US$722,017m)","Loan deals 
(US$1,317,952m)"
Europe,Loan deals,Low,217563.04580396521,"Europe 
(US$722,017m)","Loan deals 
(US$1,317,952m)"
Europe,Loan deals,Medium,225347.5972385658,"Europe 
(US$722,017m)","Loan deals 
(US$1,317,952m)"
Latin America and the Caribbean,Bond deals,High,18576.330047701158,"Latin America and the Caribbean 
(US$60,696m)","Bond deals 
(US$582,326m)"
Latin America and the Caribbean,Bond deals,Low,9425.135848752672,"Latin America and the Caribbean 
(US$60,696m)","Bond deals 
(US$582,326m)"
Latin America and the Caribbean,Bond deals,Medium,10225.075674479594,"Latin America and the Caribbean 
(US$60,696m)","Bond deals 
(US$582,326m)"
Latin America and the Caribbean,Equity deals,High,9371.502340799192,"Latin America and the Caribbean 
(US$60,696m)","Equity deals 
(US$84,114m)"
Latin America and the Caribbean,Equity deals,Low,113.0122769138098,"Latin America and the Caribbean 
(US$60,696m)","Equity deals 
(US$84,114m)"
Latin America and the Caribbean,Equity deals,Medium,714.7837134523604,"Latin America and the Caribbean 
(US$60,696m)","Equity deals 
(US$84,114m)"
Latin America and the Caribbean,Loan deals,High,2704.2462357094123,"Latin America and the Caribbean 
(US$60,696m)","Loan deals 
(US$1,317,952m)"
Latin America and the Caribbean,Loan deals,Low,5628.192963949257,"Latin America and the Caribbean 
(US$60,696m)","Loan deals 
(US$1,317,952m)"
Latin America and the Caribbean,Loan deals,Medium,3938.0713749687943,"Latin America and the Caribbean 
(US$60,696m)","Loan deals 
(US$1,317,952m)"
Northern America,Bond deals,High,7137.143807670251,"Northern America 
(US$500,455m)","Bond deals 
(US$582,326m)"
Northern America,Bond deals,Low,103739.90872587795,"Northern America 
(US$500,455m)","Bond deals 
(US$582,326m)"
Northern America,Bond deals,Medium,61997.846075317444,"Northern America 
(US$500,455m)","Bond deals 
(US$582,326m)"
Northern America,Equity deals,High,4343.461395348849,"Northern America 
(US$500,455m)","Equity deals 
(US$84,114m)"
Northern America,Equity deals,Low,18047.778994231525,"Northern America 
(US$500,455m)","Equity deals 
(US$84,114m)"
Northern America,Equity deals,Medium,6092.604228599285,"Northern America 
(US$500,455m)","Equity deals 
(US$84,114m)"
Northern America,Loan deals,High,5654.017566448594,"Northern America 
(US$500,455m)","Loan deals 
(US$1,317,952m)"
Northern America,Loan deals,Low,114158.70653329487,"Northern America 
(US$500,455m)","Loan deals 
(US$1,317,952m)"
Northern America,Loan deals,Medium,179283.88991237796,"Northern America 
(US$500,455m)","Loan deals 
(US$1,317,952m)"
Oceania,Bond deals,Low,3644.9478619263627,"Oceania 
(US$47,604m)","Bond deals 
(US$582,326m)"
Oceania,Bond deals,Medium,1316.3239938797421,"Oceania 
(US$47,604m)","Bond deals 
(US$582,326m)"
Oceania,Equity deals,Medium,103.48449297551333,"Oceania 
(US$47,604m)","Equity deals 
(US$84,114m)"
Oceania,Loan deals,High,402.45235166293105,"Oceania 
(US$47,604m)","Loan deals 
(US$1,317,952m)"
Oceania,Loan deals,Low,23181.283510443904,"Oceania 
(US$47,604m)","Loan deals 
(US$1,317,952m)"
Oceania,Loan deals,Medium,18955.703727044693,"Oceania 
(US$47,604m)","Loan deals 
(US$1,317,952m)"
NA,Bond deals,High,503.5006760511276,"NA 
(US$76,326m)","Bond deals 
(US$582,326m)"
NA,Bond deals,Low,282.0780201848935,"NA 
(US$76,326m)","Bond deals 
(US$582,326m)"
NA,Bond deals,Medium,1654.0714915322053,"NA 
(US$76,326m)","Bond deals 
(US$582,326m)"
NA,Equity deals,High,4002.3857977619423,"NA 
(US$76,326m)","Equity deals 
(US$84,114m)"
NA,Equity deals,Low,10014.368780517976,"NA 
(US$76,326m)","Equity deals 
(US$84,114m)"
NA,Equity deals,Medium,2505.190132327133,"NA 
(US$76,326m)","Equity deals 
(US$84,114m)"
NA,Loan deals,High,14.5669455196238,"NA 
(US$76,326m)","Loan deals 
(US$1,317,952m)"
NA,Loan deals,Low,25281.65924442683,"NA 
(US$76,326m)","Loan deals 
(US$1,317,952m)"
NA,Loan deals,Medium,32067.867306102304,"NA 
(US$76,326m)","Loan deals 
(US$1,317,952m)"
