manager_true_ultimate_parent_region_of_headquarters_unsd,asset_class,financial_flow_link_strength,total_usd_m,region_for_plot,asset_class_for_plot
Africa,Equity deals,Low,10.750691207710869,"Africa 
(US$7,328m)","Equity deals 
(US$59,679m)"
Africa,Loan deals,High,104.29739710409216,"Africa 
(US$7,328m)","Loan deals 
(US$940,942m)"
Africa,Loan deals,Low,7048.920360909137,"Africa 
(US$7,328m)","Loan deals 
(US$940,942m)"
Africa,Loan deals,Medium,164.20022919071153,"Africa 
(US$7,328m)","Loan deals 
(US$940,942m)"
Asia,Bond deals,High,498.46875643269595,"Asia 
(US$423,667m)","Bond deals 
(US$350,888m)"
Asia,Bond deals,Low,71525.8974980493,"Asia 
(US$423,667m)","Bond deals 
(US$350,888m)"
Asia,Bond deals,Medium,12187.009270230166,"Asia 
(US$423,667m)","Bond deals 
(US$350,888m)"
Asia,Equity deals,High,0,"Asia 
(US$423,667m)","Equity deals 
(US$59,679m)"
Asia,Equity deals,Low,12708.741002217768,"Asia 
(US$423,667m)","Equity deals 
(US$59,679m)"
Asia,Equity deals,Medium,2865.737250452825,"Asia 
(US$423,667m)","Equity deals 
(US$59,679m)"
Asia,Loan deals,High,4898.496065835627,"Asia 
(US$423,667m)","Loan deals 
(US$940,942m)"
Asia,Loan deals,Low,266704.94770255603,"Asia 
(US$423,667m)","Loan deals 
(US$940,942m)"
Asia,Loan deals,Medium,52278.09530454592,"Asia 
(US$423,667m)","Loan deals 
(US$940,942m)"
Europe,Bond deals,High,5269.571272202941,"Europe 
(US$480,931m)","Bond deals 
(US$350,888m)"
Europe,Bond deals,Low,82339.20474303958,"Europe 
(US$480,931m)","Bond deals 
(US$350,888m)"
Europe,Bond deals,Medium,51315.13889593807,"Europe 
(US$480,931m)","Bond deals 
(US$350,888m)"
Europe,Equity deals,High,1494.7680009055475,"Europe 
(US$480,931m)","Equity deals 
(US$59,679m)"
Europe,Equity deals,Low,12649.44276965811,"Europe 
(US$480,931m)","Equity deals 
(US$59,679m)"
Europe,Equity deals,Medium,2765.062411703909,"Europe 
(US$480,931m)","Equity deals 
(US$59,679m)"
Europe,Loan deals,High,12134.787763855533,"Europe 
(US$480,931m)","Loan deals 
(US$940,942m)"
Europe,Loan deals,Low,170340.9427575111,"Europe 
(US$480,931m)","Loan deals 
(US$940,942m)"
Europe,Loan deals,Medium,142621.92660662087,"Europe 
(US$480,931m)","Loan deals 
(US$940,942m)"
Latin America and the Caribbean,Bond deals,High,10513.499242283948,"Latin America and the Caribbean 
(US$38,618m)","Bond deals 
(US$350,888m)"
Latin America and the Caribbean,Bond deals,Low,6646.386664063079,"Latin America and the Caribbean 
(US$38,618m)","Bond deals 
(US$350,888m)"
Latin America and the Caribbean,Bond deals,Medium,6366.951363457703,"Latin America and the Caribbean 
(US$38,618m)","Bond deals 
(US$350,888m)"
Latin America and the Caribbean,Equity deals,High,7331.0498237974525,"Latin America and the Caribbean 
(US$38,618m)","Equity deals 
(US$59,679m)"
Latin America and the Caribbean,Equity deals,Low,160.99248256239918,"Latin America and the Caribbean 
(US$38,618m)","Equity deals 
(US$59,679m)"
Latin America and the Caribbean,Equity deals,Medium,82.29982562387048,"Latin America and the Caribbean 
(US$38,618m)","Equity deals 
(US$59,679m)"
Latin America and the Caribbean,Loan deals,High,1518.8829676461935,"Latin America and the Caribbean 
(US$38,618m)","Loan deals 
(US$940,942m)"
Latin America and the Caribbean,Loan deals,Low,3357.8562485538678,"Latin America and the Caribbean 
(US$38,618m)","Loan deals 
(US$940,942m)"
Latin America and the Caribbean,Loan deals,Medium,2640.467378173637,"Latin America and the Caribbean 
(US$38,618m)","Loan deals 
(US$940,942m)"
Northern America,Bond deals,High,3247.4197615516327,"Northern America 
(US$330,758m)","Bond deals 
(US$350,888m)"
Northern America,Bond deals,Low,58072.491563283984,"Northern America 
(US$330,758m)","Bond deals 
(US$350,888m)"
Northern America,Bond deals,Medium,38168.761128398626,"Northern America 
(US$330,758m)","Bond deals 
(US$350,888m)"
Northern America,Equity deals,High,2087.2908309603745,"Northern America 
(US$330,758m)","Equity deals 
(US$59,679m)"
Northern America,Equity deals,Low,15572.075253336034,"Northern America 
(US$330,758m)","Equity deals 
(US$59,679m)"
Northern America,Equity deals,Medium,1816.4512795610647,"Northern America 
(US$330,758m)","Equity deals 
(US$59,679m)"
Northern America,Loan deals,High,4450.760155498538,"Northern America 
(US$330,758m)","Loan deals 
(US$940,942m)"
Northern America,Loan deals,Low,84316.46590738329,"Northern America 
(US$330,758m)","Loan deals 
(US$940,942m)"
Northern America,Loan deals,Medium,123026.01919552527,"Northern America 
(US$330,758m)","Loan deals 
(US$940,942m)"
Oceania,Bond deals,Low,1877.7475544702527,"Oceania 
(US$35,490m)","Bond deals 
(US$350,888m)"
Oceania,Bond deals,Medium,724.2579504484278,"Oceania 
(US$35,490m)","Bond deals 
(US$350,888m)"
Oceania,Equity deals,Medium,71.45158558431498,"Oceania 
(US$35,490m)","Equity deals 
(US$59,679m)"
Oceania,Loan deals,High,318.88893901378367,"Oceania 
(US$35,490m)","Loan deals 
(US$940,942m)"
Oceania,Loan deals,Low,20090.684595196053,"Oceania 
(US$35,490m)","Loan deals 
(US$940,942m)"
Oceania,Loan deals,Medium,12406.806107080745,"Oceania 
(US$35,490m)","Loan deals 
(US$940,942m)"
NA,Bond deals,High,503.5006760511276,"NA 
(US$34,717m)","Bond deals 
(US$350,888m)"
NA,Bond deals,Low,51.14193791565857,"NA 
(US$34,717m)","Bond deals 
(US$350,888m)"
NA,Bond deals,Medium,1581.0455269894792,"NA 
(US$34,717m)","Bond deals 
(US$350,888m)"
NA,Equity deals,Medium,62.77920906388645,"NA 
(US$34,717m)","Equity deals 
(US$59,679m)"
NA,Loan deals,Low,8884.724481379426,"NA 
(US$34,717m)","Loan deals 
(US$940,942m)"
NA,Loan deals,Medium,23633.500455321297,"NA 
(US$34,717m)","Loan deals 
(US$940,942m)"
