manager_true_ultimate_parent_region_of_headquarters_unsd,asset_class,financial_flow_link_strength,total_usd_m,region_for_plot,asset_class_for_plot
Africa,Equity deals,Low,10.750691207710869,"Africa 
(US$7,853m)","Equity deals 
(US$68,873m)"
Africa,Loan deals,High,118.17279309638239,"Africa 
(US$7,853m)","Loan deals 
(US$1,102,035m)"
Africa,Loan deals,Low,7548.936748876752,"Africa 
(US$7,853m)","Loan deals 
(US$1,102,035m)"
Africa,Loan deals,Medium,174.77460703552802,"Africa 
(US$7,853m)","Loan deals 
(US$1,102,035m)"
Asia,Bond deals,High,608.8904165103189,"Asia 
(US$486,692m)","Bond deals 
(US$429,607m)"
Asia,Bond deals,Low,83155.74612371202,"Asia 
(US$486,692m)","Bond deals 
(US$429,607m)"
Asia,Bond deals,Medium,15563.690545481131,"Asia 
(US$486,692m)","Bond deals 
(US$429,607m)"
Asia,Equity deals,High,0,"Asia 
(US$486,692m)","Equity deals 
(US$68,873m)"
Asia,Equity deals,Low,13029.961671086032,"Asia 
(US$486,692m)","Equity deals 
(US$68,873m)"
Asia,Equity deals,Medium,2865.737250452825,"Asia 
(US$486,692m)","Equity deals 
(US$68,873m)"
Asia,Loan deals,High,5278.115428203948,"Asia 
(US$486,692m)","Loan deals 
(US$1,102,035m)"
Asia,Loan deals,Low,304670.9055787684,"Asia 
(US$486,692m)","Loan deals 
(US$1,102,035m)"
Asia,Loan deals,Medium,61519.443278014216,"Asia 
(US$486,692m)","Loan deals 
(US$1,102,035m)"
Europe,Bond deals,High,6010.125416857974,"Europe 
(US$569,914m)","Bond deals 
(US$429,607m)"
Europe,Bond deals,Low,106777.56535138993,"Europe 
(US$569,914m)","Bond deals 
(US$429,607m)"
Europe,Bond deals,Medium,61211.95863514352,"Europe 
(US$569,914m)","Bond deals 
(US$429,607m)"
Europe,Equity deals,High,3163.1125263201634,"Europe 
(US$569,914m)","Equity deals 
(US$68,873m)"
Europe,Equity deals,Low,13015.489468598827,"Europe 
(US$569,914m)","Equity deals 
(US$68,873m)"
Europe,Equity deals,Medium,3231.072537701018,"Europe 
(US$569,914m)","Equity deals 
(US$68,873m)"
Europe,Loan deals,High,13870.530059703227,"Europe 
(US$569,914m)","Loan deals 
(US$1,102,035m)"
Europe,Loan deals,Low,189621.027400516,"Europe 
(US$569,914m)","Loan deals 
(US$1,102,035m)"
Europe,Loan deals,Medium,173013.15517973763,"Europe 
(US$569,914m)","Loan deals 
(US$1,102,035m)"
Latin America and the Caribbean,Bond deals,High,13804.912714941112,"Latin America and the Caribbean 
(US$50,231m)","Bond deals 
(US$429,607m)"
Latin America and the Caribbean,Bond deals,Low,8420.818824455919,"Latin America and the Caribbean 
(US$50,231m)","Bond deals 
(US$429,607m)"
Latin America and the Caribbean,Bond deals,Medium,7598.675690508648,"Latin America and the Caribbean 
(US$50,231m)","Bond deals 
(US$429,607m)"
Latin America and the Caribbean,Equity deals,High,10535.07966354988,"Latin America and the Caribbean 
(US$50,231m)","Equity deals 
(US$68,873m)"
Latin America and the Caribbean,Equity deals,Low,160.99248256239918,"Latin America and the Caribbean 
(US$50,231m)","Equity deals 
(US$68,873m)"
Latin America and the Caribbean,Equity deals,Medium,82.29982562387048,"Latin America and the Caribbean 
(US$50,231m)","Equity deals 
(US$68,873m)"
Latin America and the Caribbean,Loan deals,High,2035.8702268860407,"Latin America and the Caribbean 
(US$50,231m)","Loan deals 
(US$1,102,035m)"
Latin America and the Caribbean,Loan deals,Low,4602.683526233668,"Latin America and the Caribbean 
(US$50,231m)","Loan deals 
(US$1,102,035m)"
Latin America and the Caribbean,Loan deals,Medium,2989.1831182756828,"Latin America and the Caribbean 
(US$50,231m)","Loan deals 
(US$1,102,035m)"
Northern America,Bond deals,High,4394.758713822129,"Northern America 
(US$391,600m)","Bond deals 
(US$429,607m)"
Northern America,Bond deals,Low,70002.33970109292,"Northern America 
(US$391,600m)","Bond deals 
(US$429,607m)"
Northern America,Bond deals,Medium,46302.02666260506,"Northern America 
(US$391,600m)","Bond deals 
(US$429,607m)"
Northern America,Equity deals,High,3640.9779750657794,"Northern America 
(US$391,600m)","Equity deals 
(US$68,873m)"
Northern America,Equity deals,Low,16874.75898574008,"Northern America 
(US$391,600m)","Equity deals 
(US$68,873m)"
Northern America,Equity deals,Medium,2119.894213612465,"Northern America 
(US$391,600m)","Equity deals 
(US$68,873m)"
Northern America,Loan deals,High,5004.566574843864,"Northern America 
(US$391,600m)","Loan deals 
(US$1,102,035m)"
Northern America,Loan deals,Low,96434.2462827658,"Northern America 
(US$391,600m)","Loan deals 
(US$1,102,035m)"
Northern America,Loan deals,Medium,146826.8300880569,"Northern America 
(US$391,600m)","Loan deals 
(US$1,102,035m)"
Oceania,Bond deals,Low,2540.5291766820483,"Oceania 
(US$39,727m)","Bond deals 
(US$429,607m)"
