exporter_group
BIOPALMA DA AMAZONIA S.A. REFLORESTAMENTO INDUSTRIA E C
COMPANHIA REFINADORA DA AMAZONIA
AGROPALMA S/A
CLEALCO ACUCAR E ALCOOL
COFCO
"COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A"
GUARANI
LOUIS DREYFUS
RAIZEN ENERGIA S.A
S A USINA CORURIPE ACUCAR E ALCOOL
SAO MARTINHO S/A
SUCDEN DO BRASIL LTDA.
USINA ALTO ALEGRE S/A - ACUCAR E ALCOOL
USINA DE ACUCAR SANTA TEREZINHA LTDA
ACUCAR E ALCOOL OSWALDO RIBEIRO DE
ADECOAGRO
BP BIOENERGIA
CANEX EXPORTACAO LTDA
"COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E ALCOOL"
CZARNIKOW BRASIL LTDA.
GLENCANE BIOENERGIA S.A.
NARDINI AGROINDUSTRIAL
SJC BIOENERGIA
U.S.A. - USINA SANTO ANGELO
USINA CONQUISTA DO PONTAL
USINA DELTA
USINA SANTA ISABEL
VA&E TRADING DO BRASIL LTDA
BUNGE
COPERTRADING COMERCIO EXPORTACAO E IMPORTACAO
DA MATA S.A. - ACUCAR E ALCOOL
ODEBRECHT AGROINDUSTRIAL PARTICIPACOES S.A.
TONON BIOENERGIA
USINA ACUCAREIRA GUAIRA LIMITADA
USINA BATATAIS S/A ACUCAR E ALCOOL
USINA SANTA FE S/A.
VALE DO TIJUCO ACUCAR E ALCOOL
AMERICA SUD INDUSTRIA E COMERCIO DE CARNES EIRELI
BERTIN S.A.
BRF
COOPERATIVA DOS PRODUTORES DE CARNE E DERIVADOS DE GURUPI
DISTRIBUIDORA DE CARNES EQUATORIAL LTDA
ELEVEN BRAZIL IMPORTACAO E EXPORTACAO
FRIGOL
FRIGORIFICO ELDORADO S/A
FRIGORIFICO MERCOSUL S/A
FRIGORIFICO PANTANAL LTDA - ME
FRIGORIFICO RIO MARIA
FRIGORIFICO TANGARA
GUAPORE CARNE S/A
IFC INTERNATIONAL FOOD COMPANY INDUSTRIA DE ALIMENTOS
IRMAOS GONCALVES COMERCIO E INDUSTRIA
JBS
KAIAPOS FABRIL E EXPORTADORA
MARFRIG
MATABOI ALIMENTOS
MERIDIONAL MEATIMPORTACAO E EXP DE ALIMENTOS
MINERVA
RXM IMPORTACAO E EXPORTACAO
SADIA S.A.
TANGARA IMPORTADORA E EXPORTADORA SA
VALE GRANDE INDUSTRIA E COMERCIO DE ALIMENTOS
XINGUARA INDUSTRIA E COMERCIO
BRASLO PRODUTOS DE CARNE
MASTERBOI
ODEBRECHT SERVICOS DE EXPORTACAO S.A
RADAR INDUSTRIA E COMERCIO DE FRIGORIFICADOS
AGROEXPORT TRADING E AGRONEGOCIOS
ARANTES ALIMENTOSEM RECUPERACAO JUDICIAL
BOI BRANCO COMERCIAL EXPORTACAO E IMPORTACAO DE BOVINOS EIR
KIT TRADING
LIDERA COMERCIO DE ALIMENTOS LTDA - ME
MAIS TRADING LTDA.
MERCURIO ALIMENTOS
MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E
PLENA ALIMENTOS
SUDAMBEEF INDUSTRIA COMERCIO IMPORTACAO E EXPORTACAO
AG STA-RITA IMPORTACAO E EXPORTACAO LTDA - EPP
AGROGLOBAL AGRONEGOCIOS EXPORTACAO E IMPORTACAO REPRESENTACO
AGROPECUARIA SANTA RITA DO MARAJO SOCIEDADE ANONIMA
ALVO CONSULTORIA E AGRONEGOCIOS
BUBRAS PARTICIPACOES E INVESTIMENTOS LTDA
"GIVOTRADING COMERCIO, IMPORTACAO E EXPORTACAO LTDA"
GROUP AGRICOLA E EXPORTACAO LTDA.
JJZ ALIMENTOS
OMEGA REPRESENTACOES LTDA
PAMPACARNE COMERCIO IMPORTACAO E EXPORTACAO
S. C. T. ARTIGOS PARA PRESENTES LTDA
SUPERFRIGO INDUSTRIA E COMERCIO
TDX TRADING COMPANY COMERCIO IMPORTACAO E EXPORTACAO DE PROD
WELLARD DO BRASIL AGRONEGOCIOS
AGRA AGROINDUSTRIAL DE ALIMENTOS
BRAVEX COMERCIAL IMPORTADORA E EXPORTADORA
CONFIDENCE COMERCIO E SERVICOS LTDA - ME
CONSTRUTORA NORBERTO ODEBRECHT
FRIGORIFICO REDENTOR
FRIGOSOL FRIGORIFICO SUL BAHIA
"MUNDO BRASIL COMERCIO, EXPORTACAO E IMPORTACAO LTDA."
RODOPA INDUSTRIA E COMERCIO DE ALIMENTOS LTDA
WEST MEAT IMPORTACAO E EXPORTACAO LTDA.
