,query,source,CommonName,OAPermID,ParentOrganisationName,ParentCompanyOAPermID,UltimateParentOrganisationName,UltimateParentCompanyOAPermID,query_clean,CommonName_clean,similarity,gaps,has_government_parent,manual_check_needed
314,m y m trading s a s,GFW,,,,,,,m y m trading s a s, na ,34.783,True,False,TRUE
315,cacao pacifico s a,GFW,,,,,,,cacao pacifico s a, na ,27.273,True,False,TRUE
316,d origenn s a s,GFW,D Origenn S A S,5086408976,,,,,d origenn s a s,d origenn s a s,100.0,True,False,TRUE
317,federacion nacional de cafeteros de colombia,GFW,Federacion Nacional De Cafeteros De Colombia,5000694298,Federacion Nacional De Cafeteros De Colombia,5000694298,Federacion Nacional De Cafeteros De Colombia,5000694298,federacion nacional de cafeteros de colombia,federacion nacional de cafeteros de colombia,100.0,False,False,FALSE
318,sociedad exportadora cafe de cooperativas de caficultores sa,GFW,,,,,,,sociedad exportadora cafe de cooperativas de caficultores sa, na ,9.375,True,False,TRUE
319,racafe  cia s c a,GFW,Racafe & Cia S C A,5063332487,Racafe & Cia S C A,5063332487,Racafe & Cia S C A,5063332487,racafe  cia s c a,racafe   cia s c a,97.143,False,False,FALSE
320,agricola guangala s a agriguangala,GFW,,,,,,,agricola guangala s a agriguangala, na ,21.053,True,False,TRUE
321,agroindustrias arriba del ecuador agroarriba s a,GFW,,,,,,,agroindustrias arriba del ecuador agroarriba s a, na ,11.538,True,False,TRUE
322,aromatic cocoa export s a aromaexco,GFW,,,,,,,aromatic cocoa export s a aromaexco, na ,15.385,True,False,TRUE
323,chocolates finos nals cofina s a,GFW,,,,,,,chocolates finos nals cofina s a, na ,22.222,True,False,TRUE
324,cia agrocomercial panchana y zambrano s a,GFW,,,,,,,cia agrocomercial panchana y zambrano s a, na ,17.778,True,False,TRUE
325,ecuador cocoa y coffee ecuacoffee s a,GFW,,,,,,,ecuador cocoa y coffee ecuacoffee s a, na ,14.634,True,False,TRUE
326,expdora manabi exportmanabi s a,GFW,,,,,,,expdora manabi exportmanabi s a, na ,22.857,True,False,TRUE
327,expdora mlopez cia ltd,GFW,,,,,,,expdora mlopez cia ltd, na ,23.077,True,False,TRUE
328,grancacao export s a,GFW,,,,,,,grancacao export s a, na ,25.0,True,False,TRUE
329,grandsouth s a,GFW,Grandsouth S A,5082539987,,,,,grandsouth s a,grandsouth s a,100.0,True,False,TRUE
330,inmobiliaria guangala s a,GFW,,,,,,,inmobiliaria guangala s a, na ,27.586,True,False,TRUE
331,la nueva casa del cacao s a casacao,GFW,,,,,,,la nueva casa del cacao s a casacao, na ,20.513,True,False,TRUE
332,manacao s a,GFW,,,,,,,manacao s a, na ,40.0,True,False,TRUE
333,nestle,GFW,Nestle SA,4295890634,Nestle SA,4295890634,Nestle SA,4295890634,nestle,nestle sa,80.0,False,False,FALSE
334,outspan ecuador sa,GFW,Outspan Ecuador SA,5039710081,Olam International Ltd,4295888157,"Singapore, Republic of (Government)",4296784399,outspan ecuador sa,outspan ecuador sa,100.0,False,True,TRUE
335,soc civil gerverd,GFW,,,,,,,soc civil gerverd, na ,19.048,True,False,TRUE
336,ecuador kakao processing proecuakao s a,GFW,,,,,,,ecuador kakao processing proecuakao s a, na ,18.605,True,False,TRUE
337,aromas y sabores del ecuador aromacacao,GFW,Aromas Y Sabores Del Ecuador Aromacacao Cia Ltda,5083056017,,,,,aromas y sabores del ecuador aromacacao,aromas y sabores del ecuador aromacacao cia ltda,89.655,True,False,TRUE
338,amazonas trading peru s a c,GFW,,,,,,,amazonas trading peru s a c, na ,25.806,True,False,TRUE
339,armajaro peru s a c,GFW,,,,,,,armajaro peru s a c, na ,26.087,True,False,TRUE
340,compaia nacional de chocolates de peru,GFW,,,,,,,compaia nacional de chocolates de peru, na ,19.048,True,False,TRUE
341,cooperativa agraria cacaotera acopagro,GFW,Cooperativa Agraria Cacaotera Acopagro,5063346098,,,,,cooperativa agraria cacaotera acopagro,cooperativa agraria cacaotera acopagro,100.0,True,False,TRUE
342,cooperativa agraria industrial naranjill,GFW,,,,,,,cooperativa agraria industrial naranjill, na ,18.182,True,False,TRUE
343,exportadora romex,GFW,Exportadora Romex SA,5044066077,Exportadora Romex SA,5044066077,Exportadora Romex SA,5044066077,exportadora romex,exportadora romex sa,91.892,False,False,FALSE
344,machu picchu coffee trading sac,GFW,,,,,,,machu picchu coffee trading sac, na ,17.143,True,False,TRUE
345,sumaqao sociedad anonima cerrada,GFW,Sumaqao Sociedad Anonima Cerrada,5083077372,,,,,sumaqao sociedad anonima cerrada,sumaqao sociedad anonima cerrada,100.0,True,False,TRUE
346,cafetalera amazonica sac,GFW,Cafetalera Amazonica Sac,5082029572,,,,,cafetalera amazonica sac,cafetalera amazonica sac,100.0,True,False,TRUE
347,aquarius trading peru s a c,GFW,,,,,,,aquarius trading peru s a c, na ,25.806,True,False,TRUE
348,asociacion cacaotera de tocache asotoc,GFW,,,,,,,asociacion cacaotera de tocache asotoc, na ,14.286,True,False,TRUE
349,asociacion de productores cacao alto hu,GFW,,,,,,,asociacion de productores cacao alto hu, na ,13.953,True,False,TRUE
350,casa luker del peru s a c,GFW,,,,,,,casa luker del peru s a c, na ,20.69,True,False,TRUE
351,coop agrar cafetalera oro verde ltda,GFW,,,,,,,coop agrar cafetalera oro verde ltda, na ,15.0,True,False,TRUE
352,tropical forest peru s a c,GFW,,,,,,,tropical forest peru s a c, na ,20.0,True,False,TRUE
353,asociacion de productores agroindustrial,GFW,,,,,,,asociacion de productores agroindustrial, na ,13.636,True,False,TRUE
354,asociacion de productores cacao vrae,GFW,,,,,,,asociacion de productores cacao vrae, na ,15.0,True,False,TRUE
355,blue pacific oils sa,GFW,,,,,,,blue pacific oils sa, na ,25.0,True,False,TRUE
356,coop agraria cafetalera el quinacho l 78,GFW,,,,,,,coop agraria cafetalera el quinacho l 78, na ,18.182,True,False,TRUE
357,cooperativa agraria de cacao aromatico c,GFW,,,,,,,cooperativa agraria de cacao aromatico c, na ,13.636,True,False,TRUE
358,cooperativa agroindustrial tocache ltda,GFW,,,,,,,cooperativa agroindustrial tocache ltda, na ,18.605,True,False,TRUE
359,cooperativa de servicios multiples noran,GFW,,,,,,,cooperativa de servicios multiples noran, na ,13.636,True,False,TRUE
360,ecoandino sac,GFW,Ecoandino SAC,5086480685,,,,,ecoandino sac,ecoandino sac,100.0,True,False,TRUE
361,compania nacional de chocolates de peru,GFW,Compaiia Nacional De Chocolates De Peru SA,5000849437,Grupo Nutresa SA,4295865710,Grupo Nutresa SA,4295865710,compania nacional de chocolates de peru,compaiia nacional de chocolates de peru sa,93.827,False,False,FALSE
362,asociacion cacaotera de las regiones uca,GFW,,,,,,,asociacion cacaotera de las regiones uca, na ,13.636,True,False,TRUE
363,asociacion de productores yunka del hual,GFW,,,,,,,asociacion de productores yunka del hual, na ,18.182,True,False,TRUE
364,organic aroma cocoa peru s a c aroma,GFW,,,,,,,organic aroma cocoa peru s a c aroma, na ,15.0,True,False,TRUE
365,villa andina sociedad anonima cerrada,GFW,,,,,,,villa andina sociedad anonima cerrada, na ,19.512,True,False,TRUE
366,agro san gerardo e i r l,GFW,,,,,,,agro san gerardo e i r l, na ,28.571,True,False,TRUE
367,alto el sol peru sociedad anonima cerrad,GFW,,,,,,,alto el sol peru sociedad anonima cerrad, na ,18.182,True,False,TRUE
368,de guste group s a c,GFW,,,,,,,de guste group s a c, na ,25.0,True,False,TRUE
369,cuencas del huallaga asociacion de produ,GFW,,,,,,,cuencas del huallaga asociacion de produ, na ,13.636,True,False,TRUE
370,qori mayo e i r l,GFW,,,,,,,qori mayo e i r l, na ,28.571,True,False,TRUE
371,central fronteriza norte cafetaleros,GFW,,,,,,,central fronteriza norte cafetaleros, na ,20.0,True,False,TRUE
372,ciainternacional del cafe sac,GFW,,,,,,,ciainternacional del cafe sac, na ,18.182,True,False,TRUE
373,comercio  cia sa,GFW,Comercio & Cia SA,5001199394,Comercio & Cia SA,5001199394,Comercio & Cia SA,5001199394,comercio  cia sa,comercio   cia sa,96.97,False,False,FALSE
374,outspan peru sac,GFW,,,,,,,outspan peru sac, na ,20.0,True,False,TRUE
375,perales huancaruna sac,GFW,Perales Huancaruna SAC,5037135764,Perales Huancaruna SAC,5037135764,Perales Huancaruna SAC,5037135764,perales huancaruna sac,perales huancaruna sac,100.0,False,False,FALSE
376,procesadora del sur sa,GFW,Embotelladora Y Procesadora Del Sur Emprosur Sa,5083318296,,,,,procesadora del sur sa,embotelladora y procesadora del sur emprosur sa,63.768,True,False,TRUE
377,hvcexportaciones sac,GFW,,,,,,,hvcexportaciones sac, na ,16.667,True,False,TRUE
378,pronatur eirl,GFW,,,,,,,pronatur eirl, na ,35.294,True,False,TRUE
379,comercio  cia sa,GFW,Comercio & Cia SA,5001199394,Comercio & Cia SA,5001199394,Comercio & Cia SA,5001199394,comercio  cia sa,comercio   cia sa,96.97,False,False,FALSE
380,cooperativa de servicios multiples solc,GFW,,,,,,,cooperativa de servicios multiples solc, na ,9.302,True,False,TRUE
381,export import candres sac,GFW,,,,,,,export import candres sac, na ,20.69,True,False,TRUE
382,coffee green s r l,GFW,,,,,,,coffee green s r l, na ,27.273,True,False,TRUE
383,expoimp beviperu eirl,GFW,,,,,,,expoimp beviperu eirl, na ,16.0,True,False,TRUE
384,export import aylen e i r l,GFW,,,,,,,export import aylen e i r l, na ,19.355,True,False,TRUE
385,multinegocios rr e i r l,GFW,,,,,,,multinegocios rr e i r l, na ,14.286,True,False,TRUE
386,comercio amazonia s a,GFW,Digitron Da Amazonia Industria E Comercio Ltda,5000900231,Digitron Da Amazonia Industria E Comercio Ltda,5000900231,Digitron Da Amazonia Industria E Comercio Ltda,5000900231,comercio amazonia s a,digitron da amazonia industria e comercio ltda,44.776,False,False,TRUE
387,cooperativa agraria cafetalera alto mayo,GFW,Cooperativa Agraria Cafetalera Alto Mayo,5082030059,,,,,cooperativa agraria cafetalera alto mayo,cooperativa agraria cafetalera alto mayo,100.0,True,False,TRUE
388,cooperativa de servicios multiples solc,GFW,,,,,,,cooperativa de servicios multiples solc, na ,9.302,True,False,TRUE
389,negrisa sac,GFW,,,,,,,negrisa sac, na ,40.0,True,False,TRUE
390,rainforest trading sac,GFW,Rainforest Trading Norte SAC,5083079969,,,,,rainforest trading sac,rainforest trading norte sac,88.0,True,False,TRUE
391,asociacion de productores agropecuarios,GFW,Asociacion De Productores Agropecuarios Montegrande,5083091367,,,,,asociacion de productores agropecuarios,asociacion de productores agropecuarios montegrande,86.667,True,False,TRUE
392,cafe monteverde eirl,GFW,,,,,,,cafe monteverde eirl, na ,25.0,True,False,TRUE
393,m  v rivas e i r l,GFW,,,,,,,m  v rivas e i r l, na ,27.273,True,False,TRUE
394,negocios marber s r l,GFW,,,,,,,negocios marber s r l, na ,24.0,True,False,TRUE
395,valley coffee trading s a c,GFW,,,,,,,valley coffee trading s a c, na ,25.806,True,False,TRUE
