,query,source,CommonName,OAPermID,ParentOrganisationName,ParentCompanyOAPermID,UltimateParentOrganisationName,UltimateParentCompanyOAPermID,query_clean,CommonName_clean,similarity,gaps,has_government_parent,manual_check_needed
172,odenir ortolan,GFW,,,,,,,odenir ortolan, na ,22.222,True,False,TRUE
173,pedro misturini,GFW,,,,,,,pedro misturini, na ,21.053,True,False,TRUE
174,pedro riva,GFW,,,,,,,pedro riva, na ,28.571,True,False,TRUE
175,peregrino scarabelot,GFW,,,,,,,peregrino scarabelot, na ,16.667,True,False,TRUE
176,renato david prante,GFW,,,,,,,renato david prante, na ,26.087,True,False,TRUE
177,rubens pergo,GFW,,,,,,,rubens pergo, na ,25.0,True,False,TRUE
178,tarcisio pase,GFW,,,,,,,tarcisio pase, na ,23.529,True,False,TRUE
179,agromon agricultura e pecuaria,GFW,Agromon Sa Agricultura E Pecuaria,5039726390,Mpe Participacoes Em Agronegocios Sa,5000900818,Mpe Sa Participacoes E Administracao,,agromon agricultura e pecuaria,agromon sa agricultura e pecuaria,95.238,True,False,TRUE
180,fertimig fertilizantes,GFW,,,,,,,fertimig fertilizantes, na ,15.385,True,False,TRUE
181,glencore,GFW,Glencore PLC,5034844193,Glencore PLC,5034844193,Glencore PLC,5034844193,glencore,glencore plc,80.0,False,False,FALSE
182,nelco durigon,GFW,,,,,,,nelco durigon, na ,23.529,True,False,TRUE
183,agrenco,GFW,Agrenco Ltd,4295859815,Agrenco Ltd,4295859815,Agrenco Ltd,4295859815,agrenco,agrenco ltd,77.778,False,False,FALSE
184,darcy getulio ferrarin,GFW,,,,,,,darcy getulio ferrarin, na ,15.385,True,False,TRUE
185,nelson luiz piccoli,GFW,,,,,,,nelson luiz piccoli, na ,17.391,True,False,TRUE
186,regina celia vargas da silva basso,GFW,,,,,,,regina celia vargas da silva basso, na ,15.789,True,False,TRUE
187,giancarlos bavaresco,GFW,,,,,,,giancarlos bavaresco, na ,25.0,True,False,TRUE
188,terra santa agro,GFW,SLC Agricola Centro-Oeste SA,4295859964,SLC Agricola SA,4295859807,SLC Agricola SA,4295859807,terra santa agro,slc agricola centro oeste sa,31.818,False,False,TRUE
189,fernando longhi,GFW,,,,,,,fernando longhi, na ,31.579,True,False,TRUE
190,karla pedroso jacinto,GFW,,,,,,,karla pedroso jacinto, na ,16.0,True,False,TRUE
191,mineracao buritirama,GFW,Buritirama Mineracao Sa Falido,4298259743,Bonsucex Holding Sa,4298064897,Bonsucex Holding Sa,4298064897,mineracao buritirama,buritirama mineracao sa falido,48.0,False,False,TRUE
192,mitsui  co,GFW,Mitsui & Co Ltd,4295880574,Mitsui & Co Ltd,4295880574,Mitsui & Co Ltd,4295880574,mitsui  co,mitsui   co ltd,80.0,False,False,FALSE
193,zeferino longhi,GFW,,,,,,,zeferino longhi, na ,21.053,True,False,TRUE
194,agricola e pecuaria morro azul,GFW,,,,,,,agricola e pecuaria morro azul, na ,17.647,True,False,TRUE
195,caramuru,GFW,Caramuru Alimentos S/A,4298255916,Caramuru Alimentos S/A,4298255916,Caramuru Alimentos S/A,4298255916,caramuru,caramuru alimentos s a,53.333,False,False,TRUE
196,juparana comercial agricola,GFW,Juparana Comercial Agricola Ltda,5059074996,Carminati Participacoes Societarias Ltda,5083545928,Carminati Participacoes Societarias Ltda,,juparana comercial agricola,juparana comercial agricola ltda,91.525,True,False,TRUE
197,sigma agropecuaria ltda,GFW,Sigma Agropecuaria Ltda,5083275838,Sigma Agropecuaria Ltda,5083275838,Sigma Agropecuaria Ltda,5083275838,sigma agropecuaria ltda,sigma agropecuaria ltda,100.0,False,False,FALSE
198,sipal,GFW,Sipal SpA,5039617842,Fininc SpA,5042211908,Fininc SpA,5042211908,sipal,sipal spa,71.429,False,False,FALSE
