commodity_case,boundary_period,defn_phase_out,total_usd_m_high_conf,total_usd_m_medium_conf,total_usd_m_low_conf,total_usd_m,total_usd_m_yr_high_conf,total_usd_m_yr_medium_conf,total_usd_m_yr_low_conf,total_usd_m_yr
cattle_meat,0,FALSE,21639.460005200886,38616.580503984296,12137.03870844992,72393.07921763511,1971.95713720506,3599.60958591582,1103.3671553136282,6674.933878434508
cattle_meat,0,TRUE,18217.783313223073,38234.441413265784,11497.810928839282,67950.03565532815,1660.895619752535,3539.178038321794,1045.2555389853887,6245.329197059717
cattle_meat,1,FALSE,29701.24170965464,44961.965597185634,16670.522022423775,91333.72932926405,2707.558992502804,4197.846326087048,1515.5020020385218,8420.907320628374
cattle_meat,1,TRUE,26060.01324412156,44579.82650646712,16031.294242813137,86671.13399340182,2376.5382229088923,4137.414778493022,1457.3903857102823,7971.343387112197
cattle_meat,2,FALSE,32860.1996610094,58003.48850384438,16670.522022423775,107534.21018727755,2997.7571303444247,5679.675029795302,1515.5020020385218,10192.93416217825
cattle_meat,2,TRUE,28119.718910708678,57435.45316516967,16031.294242813137,101586.46631869148,2566.80433486254,5588.2607742085775,1457.3903857102823,9612.4554947814
cattle_meat,3,FALSE,34101.83100401905,64048.90647118441,16679.5708396957,114830.30831489917,3116.901572617178,6236.863058306829,1516.3246217905148,10870.08925271452
cattle_meat,3,TRUE,28202.46793709744,63480.87113250969,16040.343060085064,107723.6821296922,2580.5958392606694,6145.448802720105,1458.2130054622753,10184.25764744305
cattle_meat,all,FALSE,35068.10366748673,64485.39330143171,16679.5708396957,116233.06780861414,3208.388140302914,6309.610863348052,1516.3246217905148,11034.32362544148
cattle_meat,all,TRUE,29168.74060056514,63542.23626065532,16040.343060085064,108751.31992130553,2672.0824069464056,6155.676324077721,1458.2130054622753,10285.971736486403
cocoa_beans,0,FALSE,303.01000347969466,190437.10448622677,75317.03317326817,266057.14766297466,50.50166724661577,30691.34498981019,12552.838862211398,43294.685519268205
cocoa_beans,0,TRUE,303.01000347969466,177105.8805175604,75317.03317326817,252725.92369430827,50.50166724661577,29358.222592943486,12552.838862211398,41961.5631224015
cocoa_beans,1,FALSE,303.01000347969466,253482.82190627707,88630.93728178975,342416.7691915465,50.50166724661577,41132.390533519174,14771.822880298294,55954.71508106408
cocoa_beans,1,TRUE,303.01000347969466,239152.98754312354,88630.93728178975,328086.934828393,50.50166724661577,39699.40709720382,14771.822880298294,54521.731644748725
cocoa_beans,2,FALSE,623.0100034796947,307506.1297998836,106261.38803196931,414390.5278353326,82.50166724661577,49987.386515787126,17710.231338661586,67780.11952169533
cocoa_beans,2,TRUE,623.0100034796947,290942.96543673205,106261.38803196931,397827.3634721811,82.50166724661577,48331.07007947173,17710.231338661586,66123.80308537993
cocoa_beans,3,FALSE,623.0100034796947,337752.1170041481,107825.66540011346,446200.79240774125,82.50166724661577,55028.38438316488,17970.94423335229,73081.83028376379
cocoa_beans,3,TRUE,623.0100034796947,321188.95264099655,107825.66540011346,429637.6280445897,82.50166724661577,53372.06794684948,17970.94423335229,71425.51384744838
