Unnamed: 0,producer_country,commodity,year,adjusted_deforestation_exposure,exporter_group,years_appeared,years_available,deduce_temporal_pattern,legal_entity_mapped,legal_entity_hierarchy_year,CommonName,OAPermID,ParentOrganisationName,ParentCompanyOAPermID,UltimateParentOrganisationName,UltimateParentCompanyOAPermID,JointVentureOrganisationName,JointVentureCompanyOAPermID
,Peru,"Coffee, green",2008,,A & V CAFE S A C,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",2014-2022,Phased in,FALSE,,,,,,,,,
,Peru,"Coffee, green",2009,,A & V CAFE S A C,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",2014-2022,Phased in,FALSE,,,,,,,,,
,Peru,"Coffee, green",2010,,A & V CAFE S A C,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",2014-2022,Phased in,FALSE,,,,,,,,,
,Peru,"Coffee, green",2011,,A & V CAFE S A C,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",2014-2022,Phased in,FALSE,,,,,,,,,
,Peru,"Coffee, green",2012,,A & V CAFE S A C,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",2014-2022,Phased in,FALSE,,,,,,,,,
,Peru,"Coffee, green",2013,,A & V CAFE S A C,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",2014-2022,Phased in,FALSE,,,,,,,,,
,Peru,"Coffee, green",2014,,A & V CAFE S A C,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",2014-2022,Phased in,FALSE,,,,,,,,,
0,Peru,"Coffee, green",2015,1.979468782,A & V CAFE S A C,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",2014-2022,Phased in,FALSE,,,,,,,,,
1,Peru,"Coffee, green",2016,59.17165895,A & V CAFE S A C,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",2014-2022,Phased in,FALSE,,,,,,,,,
2,Peru,"Coffee, green",2017,37.83561986,A & V CAFE S A C,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",2014-2022,Phased in,FALSE,,,,,,,,,
3,Peru,"Coffee, green",2018,29.71565726,A & V CAFE S A C,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",2014-2022,Phased in,FALSE,,,,,,,,,
4,Peru,"Coffee, green",2019,55.91462031,A & V CAFE S A C,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",2014-2022,Phased in,FALSE,,,,,,,,,
5,Peru,"Coffee, green",2020,30.02824851,A & V CAFE S A C,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",2014-2022,Phased in,FALSE,,,,,,,,,
6,Peru,"Coffee, green",2021,25.34270455,A & V CAFE S A C,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",2014-2022,Phased in,FALSE,,,,,,,,,
7,Peru,"Coffee, green",2022,20.64852139,A & V CAFE S A C,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",2014-2022,Phased in,FALSE,,,,,,,,,
,Peru,"Coffee, green",2023,,A & V CAFE S A C,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",2014-2022,Phased in,FALSE,,,,,,,,,
,Peru,"Coffee, green",2024,,A & V CAFE S A C,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",2014-2022,Phased in,FALSE,,,,,,,,,
,Colombia,Cattle meat,2008,,A T R LTD ASESORIA TECNICA EN RODAMIENTOS LIMITTTTTADA,2013,2013-2018,Phased out,FALSE,,,,,,,,,
,Colombia,Cattle meat,2009,,A T R LTD ASESORIA TECNICA EN RODAMIENTOS LIMITTTTTADA,2013,2013-2018,Phased out,FALSE,,,,,,,,,
,Colombia,Cattle meat,2010,,A T R LTD ASESORIA TECNICA EN RODAMIENTOS LIMITTTTTADA,2013,2013-2018,Phased out,FALSE,,,,,,,,,
,Colombia,Cattle meat,2011,,A T R LTD ASESORIA TECNICA EN RODAMIENTOS LIMITTTTTADA,2013,2013-2018,Phased out,FALSE,,,,,,,,,
,Colombia,Cattle meat,2012,,A T R LTD ASESORIA TECNICA EN RODAMIENTOS LIMITTTTTADA,2013,2013-2018,Phased out,FALSE,,,,,,,,,
8,Colombia,Cattle meat,2013,92.67171771,A T R LTD ASESORIA TECNICA EN RODAMIENTOS LIMITTTTTADA,2013,2013-2018,Phased out,FALSE,,,,,,,,,
,Colombia,Cattle meat,2014,,A T R LTD ASESORIA TECNICA EN RODAMIENTOS LIMITTTTTADA,2013,2013-2018,Phased out,FALSE,,,,,,,,,
,Colombia,Cattle meat,2015,,A T R LTD ASESORIA TECNICA EN RODAMIENTOS LIMITTTTTADA,2013,2013-2018,Phased out,FALSE,,,,,,,,,
,Colombia,Cattle meat,2016,,A T R LTD ASESORIA TECNICA EN RODAMIENTOS LIMITTTTTADA,2013,2013-2018,Phased out,FALSE,,,,,,,,,
,Colombia,Cattle meat,2017,,A T R LTD ASESORIA TECNICA EN RODAMIENTOS LIMITTTTTADA,2013,2013-2018,Phased out,FALSE,,,,,,,,,
,Colombia,Cattle meat,2018,,A T R LTD ASESORIA TECNICA EN RODAMIENTOS LIMITTTTTADA,2013,2013-2018,Phased out,FALSE,,,,,,,,,
,Colombia,Cattle meat,2019,,A T R LTD ASESORIA TECNICA EN RODAMIENTOS LIMITTTTTADA,2013,2013-2018,Phased out,FALSE,,,,,,,,,
,Colombia,Cattle meat,2020,,A T R LTD ASESORIA TECNICA EN RODAMIENTOS LIMITTTTTADA,2013,2013-2018,Phased out,FALSE,,,,,,,,,
,Colombia,Cattle meat,2021,,A T R LTD ASESORIA TECNICA EN RODAMIENTOS LIMITTTTTADA,2013,2013-2018,Phased out,FALSE,,,,,,,,,
,Colombia,Cattle meat,2022,,A T R LTD ASESORIA TECNICA EN RODAMIENTOS LIMITTTTTADA,2013,2013-2018,Phased out,FALSE,,,,,,,,,
,Colombia,Cattle meat,2023,,A T R LTD ASESORIA TECNICA EN RODAMIENTOS LIMITTTTTADA,2013,2013-2018,Phased out,FALSE,,,,,,,,,
,Colombia,Cattle meat,2024,,A T R LTD ASESORIA TECNICA EN RODAMIENTOS LIMITTTTTADA,2013,2013-2018,Phased out,FALSE,,,,,,,,,
,Brazil,Cattle meat,2008,,ABATEDOURO DE BOVINOS SAMPAIO LTDA,"2019, 2020",2010-2020,Phased in,TRUE,2008,Abatedouro De Bovinos Sampaio Ltda,5086412891,Fba Investimentos Ltda,5085567533,Fba Investimentos Ltda,5085567533,,
,Brazil,Cattle meat,2009,,ABATEDOURO DE BOVINOS SAMPAIO LTDA,"2019, 2020",2010-2020,Phased in,TRUE,2009,Abatedouro De Bovinos Sampaio Ltda,5086412891,Fba Investimentos Ltda,5085567533,Fba Investimentos Ltda,5085567533,,
,Brazil,Cattle meat,2010,,ABATEDOURO DE BOVINOS SAMPAIO LTDA,"2019, 2020",2010-2020,Phased in,TRUE,2010,Abatedouro De Bovinos Sampaio Ltda,5086412891,Fba Investimentos Ltda,5085567533,Fba Investimentos Ltda,5085567533,,
,Brazil,Cattle meat,2011,,ABATEDOURO DE BOVINOS SAMPAIO LTDA,"2019, 2020",2010-2020,Phased in,TRUE,2011,Abatedouro De Bovinos Sampaio Ltda,5086412891,Fba Investimentos Ltda,5085567533,Fba Investimentos Ltda,5085567533,,
,Brazil,Cattle meat,2012,,ABATEDOURO DE BOVINOS SAMPAIO LTDA,"2019, 2020",2010-2020,Phased in,TRUE,2012,Abatedouro De Bovinos Sampaio Ltda,5086412891,Fba Investimentos Ltda,5085567533,Fba Investimentos Ltda,5085567533,,
,Brazil,Cattle meat,2013,,ABATEDOURO DE BOVINOS SAMPAIO LTDA,"2019, 2020",2010-2020,Phased in,TRUE,2013,Abatedouro De Bovinos Sampaio Ltda,5086412891,Fba Investimentos Ltda,5085567533,Fba Investimentos Ltda,5085567533,,
,Brazil,Cattle meat,2014,,ABATEDOURO DE BOVINOS SAMPAIO LTDA,"2019, 2020",2010-2020,Phased in,TRUE,2014,Abatedouro De Bovinos Sampaio Ltda,5086412891,Fba Investimentos Ltda,5085567533,Fba Investimentos Ltda,5085567533,,
,Brazil,Cattle meat,2015,,ABATEDOURO DE BOVINOS SAMPAIO LTDA,"2019, 2020",2010-2020,Phased in,TRUE,2015,Abatedouro De Bovinos Sampaio Ltda,5086412891,Fba Investimentos Ltda,5085567533,Fba Investimentos Ltda,5085567533,,
,Brazil,Cattle meat,2016,,ABATEDOURO DE BOVINOS SAMPAIO LTDA,"2019, 2020",2010-2020,Phased in,TRUE,2016,Abatedouro De Bovinos Sampaio Ltda,5086412891,Fba Investimentos Ltda,5085567533,Fba Investimentos Ltda,5085567533,,
,Brazil,Cattle meat,2017,,ABATEDOURO DE BOVINOS SAMPAIO LTDA,"2019, 2020",2010-2020,Phased in,TRUE,2017,Abatedouro De Bovinos Sampaio Ltda,5086412891,Fba Investimentos Ltda,5085567533,Fba Investimentos Ltda,5085567533,,
,Brazil,Cattle meat,2018,,ABATEDOURO DE BOVINOS SAMPAIO LTDA,"2019, 2020",2010-2020,Phased in,TRUE,2018,Abatedouro De Bovinos Sampaio Ltda,5086412891,Fba Investimentos Ltda,5085567533,Fba Investimentos Ltda,5085567533,,
9,Brazil,Cattle meat,2019,0.665830087,ABATEDOURO DE BOVINOS SAMPAIO LTDA,"2019, 2020",2010-2020,Phased in,TRUE,2019,Abatedouro De Bovinos Sampaio Ltda,5086412891,Fba Investimentos Ltda,5085567533,Fba Investimentos Ltda,5085567533,,
10,Brazil,Cattle meat,2020,131.8787504,ABATEDOURO DE BOVINOS SAMPAIO LTDA,"2019, 2020",2010-2020,Phased in,TRUE,2020,Abatedouro De Bovinos Sampaio Ltda,5086412891,Fba Investimentos Ltda,5085567533,Fba Investimentos Ltda,5085567533,,
,Brazil,Cattle meat,2021,,ABATEDOURO DE BOVINOS SAMPAIO LTDA,"2019, 2020",2010-2020,Phased in,TRUE,2021,Abatedouro De Bovinos Sampaio Ltda,5086412891,Fba Investimentos Ltda,5085567533,Fba Investimentos Ltda,5085567533,,
,Brazil,Cattle meat,2022,,ABATEDOURO DE BOVINOS SAMPAIO LTDA,"2019, 2020",2010-2020,Phased in,TRUE,2022,Abatedouro De Bovinos Sampaio Ltda,5086412891,Fba Investimentos Ltda,5085567533,Fba Investimentos Ltda,5085567533,,
,Brazil,Cattle meat,2023,,ABATEDOURO DE BOVINOS SAMPAIO LTDA,"2019, 2020",2010-2020,Phased in,TRUE,2023,Abatedouro De Bovinos Sampaio Ltda,5086412891,Fba Investimentos Ltda,5085567533,Fba Investimentos Ltda,5085567533,,
,Brazil,Cattle meat,2024,,ABATEDOURO DE BOVINOS SAMPAIO LTDA,"2019, 2020",2010-2020,Phased in,TRUE,2024,Abatedouro De Bovinos Sampaio Ltda,5086412891,Fba Investimentos Ltda,5085567533,Fba Investimentos Ltda,5085567533,,
,Brazil,Sugar cane,2008,,ABENGOA BIOENERGIA AGROINDUSTRIA,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2008,Abengoa Bioenergia Agroindustria Em Recuperacao Judicial Ltda,5036760607,Abengoa Bioenergia Brasil Sa,5036760715,Abengoa SA,4295889415,,
,Brazil,Sugar cane,2009,,ABENGOA BIOENERGIA AGROINDUSTRIA,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2009,Abengoa Bioenergia Agroindustria Em Recuperacao Judicial Ltda,5036760607,Abengoa Bioenergia Brasil Sa,5036760715,Abengoa SA,4295889415,,
,Brazil,Sugar cane,2010,,ABENGOA BIOENERGIA AGROINDUSTRIA,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2010,Abengoa Bioenergia Agroindustria Em Recuperacao Judicial Ltda,5036760607,Abengoa Bioenergia Brasil Sa,5036760715,Abengoa SA,4295889415,,
,Brazil,Sugar cane,2011,,ABENGOA BIOENERGIA AGROINDUSTRIA,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2011,Abengoa Bioenergia Agroindustria Em Recuperacao Judicial Ltda,5036760607,Abengoa Bioenergia Brasil Sa,5036760715,Abengoa SA,4295889415,,
,Brazil,Sugar cane,2012,,ABENGOA BIOENERGIA AGROINDUSTRIA,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2012,Abengoa Bioenergia Agroindustria Em Recuperacao Judicial Ltda,5036760607,Abengoa Bioenergia Brasil Sa,5036760715,Abengoa SA,4295889415,,
,Brazil,Sugar cane,2013,,ABENGOA BIOENERGIA AGROINDUSTRIA,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2013,Abengoa Bioenergia Agroindustria Em Recuperacao Judicial Ltda,5036760607,Abengoa Bioenergia Brasil Sa,5036760715,Abengoa SA,4295889415,,
,Brazil,Sugar cane,2014,,ABENGOA BIOENERGIA AGROINDUSTRIA,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2014,Abengoa Bioenergia Agroindustria Em Recuperacao Judicial Ltda,5036760607,Abengoa Bioenergia Brasil Sa,5036760715,Abengoa SA,4295889415,,
11,Brazil,Sugar cane,2015,69.4860106,ABENGOA BIOENERGIA AGROINDUSTRIA,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2015,Abengoa Bioenergia Agroindustria Em Recuperacao Judicial Ltda,5036760607,Abengoa Bioenergia Brasil Sa,5036760715,Abengoa SA,4295889415,,
12,Brazil,Sugar cane,2016,62.58982818,ABENGOA BIOENERGIA AGROINDUSTRIA,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2016,Abengoa Bioenergia Agroindustria Em Recuperacao Judicial Ltda,5036760607,Abengoa Bioenergia Brasil Sa,5036760715,Abengoa SA,4295889415,,
13,Brazil,Sugar cane,2017,38.42525749,ABENGOA BIOENERGIA AGROINDUSTRIA,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2017,Abengoa Bioenergia Agroindustria Em Recuperacao Judicial Ltda,5036760607,Abengoa Bioenergia Brasil Sa,5036760715,Abengoa SA,4295889415,,
,Brazil,Sugar cane,2018,,ABENGOA BIOENERGIA AGROINDUSTRIA,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2018,Abengoa Bioenergia Agroindustria Em Recuperacao Judicial Ltda,5036760607,Abengoa Bioenergia Brasil Sa,5036760715,Abengoa SA,4295889415,,
,Brazil,Sugar cane,2019,,ABENGOA BIOENERGIA AGROINDUSTRIA,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2019,Abengoa Bioenergia Agroindustria Em Recuperacao Judicial Ltda,5036760607,Abengoa Bioenergia Brasil Sa,5036760715,Abengoa SA,4295889415,,
,Brazil,Sugar cane,2020,,ABENGOA BIOENERGIA AGROINDUSTRIA,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2020,Abengoa Bioenergia Agroindustria Em Recuperacao Judicial Ltda,5036760607,Abengoa Bioenergia Brasil Sa,5036760715,Abengoa SA,4295889415,,
,Brazil,Sugar cane,2021,,ABENGOA BIOENERGIA AGROINDUSTRIA,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2021,Abengoa Bioenergia Agroindustria Em Recuperacao Judicial Ltda,5036760607,Abengoa Bioenergia Brasil Sa,5036760715,Abengoa SA,4295889415,,
,Brazil,Sugar cane,2022,,ABENGOA BIOENERGIA AGROINDUSTRIA,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2022,Abengoa Bioenergia Agroindustria Em Recuperacao Judicial Ltda,5036760607,Abengoa Bioenergia Brasil Sa,5036760715,Abengoa SA,4295889415,,
,Brazil,Sugar cane,2023,,ABENGOA BIOENERGIA AGROINDUSTRIA,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2023,Abengoa Bioenergia Agroindustria Em Recuperacao Judicial Ltda,5036760607,Cox Energy SAB de CV,5074561319,Cox Energy SAB de CV,5074561319,,
,Brazil,Sugar cane,2024,,ABENGOA BIOENERGIA AGROINDUSTRIA,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2024,Abengoa Bioenergia Agroindustria Em Recuperacao Judicial Ltda,5036760607,Cox Energy SAB de CV,5074561319,Cox Energy SAB de CV,5074561319,,
,Brazil,Sugar cane,2008,,ACUCAR E ALCOOL OSWALDO RIBEIRO DE,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2008,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,,
,Brazil,Sugar cane,2009,,ACUCAR E ALCOOL OSWALDO RIBEIRO DE,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2009,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,,
,Brazil,Sugar cane,2010,,ACUCAR E ALCOOL OSWALDO RIBEIRO DE,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2010,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,,
,Brazil,Sugar cane,2011,,ACUCAR E ALCOOL OSWALDO RIBEIRO DE,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2011,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,,
,Brazil,Sugar cane,2012,,ACUCAR E ALCOOL OSWALDO RIBEIRO DE,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2012,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,,
,Brazil,Sugar cane,2013,,ACUCAR E ALCOOL OSWALDO RIBEIRO DE,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2013,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,,
,Brazil,Sugar cane,2014,,ACUCAR E ALCOOL OSWALDO RIBEIRO DE,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2014,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,,
14,Brazil,Sugar cane,2015,78.07730017,ACUCAR E ALCOOL OSWALDO RIBEIRO DE,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2015,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,,
15,Brazil,Sugar cane,2016,209.051564,ACUCAR E ALCOOL OSWALDO RIBEIRO DE,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2016,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,,
16,Brazil,Sugar cane,2017,225.76234,ACUCAR E ALCOOL OSWALDO RIBEIRO DE,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2017,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,,
,Brazil,Sugar cane,2018,,ACUCAR E ALCOOL OSWALDO RIBEIRO DE,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2018,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,,
,Brazil,Sugar cane,2019,,ACUCAR E ALCOOL OSWALDO RIBEIRO DE,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2019,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,,
,Brazil,Sugar cane,2020,,ACUCAR E ALCOOL OSWALDO RIBEIRO DE,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2020,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,,
,Brazil,Sugar cane,2021,,ACUCAR E ALCOOL OSWALDO RIBEIRO DE,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2021,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,,
,Brazil,Sugar cane,2022,,ACUCAR E ALCOOL OSWALDO RIBEIRO DE,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2022,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,,
,Brazil,Sugar cane,2023,,ACUCAR E ALCOOL OSWALDO RIBEIRO DE,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2023,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,,
,Brazil,Sugar cane,2024,,ACUCAR E ALCOOL OSWALDO RIBEIRO DE,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2024,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,,
,Brazil,Soya beans,2008,,ADECOAGRO,"2019, 2020, 2022",2010-2022,Intermittent,TRUE,2008,Adecoagro SA,5001431073,Adecoagro SA,5001431073,Adecoagro SA,5001431073,,
,Brazil,Sugar cane,2008,,ADECOAGRO,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2008,Adecoagro SA,5001431073,Adecoagro SA,5001431073,Adecoagro SA,5001431073,,
,Brazil,Soya beans,2009,,ADECOAGRO,"2019, 2020, 2022",2010-2022,Intermittent,TRUE,2009,Adecoagro SA,5001431073,Adecoagro SA,5001431073,Adecoagro SA,5001431073,,
,Brazil,Sugar cane,2009,,ADECOAGRO,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2009,Adecoagro SA,5001431073,Adecoagro SA,5001431073,Adecoagro SA,5001431073,,
,Brazil,Soya beans,2010,,ADECOAGRO,"2019, 2020, 2022",2010-2022,Intermittent,TRUE,2010,Adecoagro SA,5001431073,Adecoagro SA,5001431073,Adecoagro SA,5001431073,,
,Brazil,Sugar cane,2010,,ADECOAGRO,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2010,Adecoagro SA,5001431073,Adecoagro SA,5001431073,Adecoagro SA,5001431073,,
,Brazil,Soya beans,2011,,ADECOAGRO,"2019, 2020, 2022",2010-2022,Intermittent,TRUE,2011,Adecoagro SA,5001431073,Adecoagro SA,5001431073,Adecoagro SA,5001431073,,
,Brazil,Sugar cane,2011,,ADECOAGRO,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2011,Adecoagro SA,5001431073,Adecoagro SA,5001431073,Adecoagro SA,5001431073,,
,Brazil,Soya beans,2012,,ADECOAGRO,"2019, 2020, 2022",2010-2022,Intermittent,TRUE,2012,Adecoagro SA,5001431073,Adecoagro SA,5001431073,Adecoagro SA,5001431073,,
,Brazil,Sugar cane,2012,,ADECOAGRO,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2012,Adecoagro SA,5001431073,Adecoagro SA,5001431073,Adecoagro SA,5001431073,,
,Brazil,Soya beans,2013,,ADECOAGRO,"2019, 2020, 2022",2010-2022,Intermittent,TRUE,2013,Adecoagro SA,5001431073,Adecoagro SA,5001431073,Adecoagro SA,5001431073,,
,Brazil,Sugar cane,2013,,ADECOAGRO,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2013,Adecoagro SA,5001431073,Adecoagro SA,5001431073,Adecoagro SA,5001431073,,
,Brazil,Soya beans,2014,,ADECOAGRO,"2019, 2020, 2022",2010-2022,Intermittent,TRUE,2014,Adecoagro SA,5001431073,Adecoagro SA,5001431073,Adecoagro SA,5001431073,,
,Brazil,Sugar cane,2014,,ADECOAGRO,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2014,Adecoagro SA,5001431073,Adecoagro SA,5001431073,Adecoagro SA,5001431073,,
20,Brazil,Sugar cane,2015,85.45026202,ADECOAGRO,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2015,Adecoagro SA,5001431073,Adecoagro SA,5001431073,Adecoagro SA,5001431073,,
,Brazil,Soya beans,2015,,ADECOAGRO,"2019, 2020, 2022",2010-2022,Intermittent,TRUE,2015,Adecoagro SA,5001431073,Adecoagro SA,5001431073,Adecoagro SA,5001431073,,
21,Brazil,Sugar cane,2016,200.8632747,ADECOAGRO,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2016,Adecoagro SA,5001431073,Adecoagro SA,5001431073,Adecoagro SA,5001431073,,
,Brazil,Soya beans,2016,,ADECOAGRO,"2019, 2020, 2022",2010-2022,Intermittent,TRUE,2016,Adecoagro SA,5001431073,Adecoagro SA,5001431073,Adecoagro SA,5001431073,,
22,Brazil,Sugar cane,2017,269.6676073,ADECOAGRO,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2017,Adecoagro SA,5001431073,Adecoagro SA,5001431073,Adecoagro SA,5001431073,,
,Brazil,Soya beans,2017,,ADECOAGRO,"2019, 2020, 2022",2010-2022,Intermittent,TRUE,2017,Adecoagro SA,5001431073,Adecoagro SA,5001431073,Adecoagro SA,5001431073,,
,Brazil,Soya beans,2018,,ADECOAGRO,"2019, 2020, 2022",2010-2022,Intermittent,TRUE,2018,Adecoagro SA,5001431073,Adecoagro SA,5001431073,Adecoagro SA,5001431073,,
,Brazil,Sugar cane,2018,,ADECOAGRO,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2018,Adecoagro SA,5001431073,Adecoagro SA,5001431073,Adecoagro SA,5001431073,,
17,Brazil,Soya beans,2019,74.68006746,ADECOAGRO,"2019, 2020, 2022",2010-2022,Intermittent,TRUE,2019,Adecoagro SA,5001431073,Adecoagro SA,5001431073,Adecoagro SA,5001431073,,
,Brazil,Sugar cane,2019,,ADECOAGRO,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2019,Adecoagro SA,5001431073,Adecoagro SA,5001431073,Adecoagro SA,5001431073,,
18,Brazil,Soya beans,2020,15.00022729,ADECOAGRO,"2019, 2020, 2022",2010-2022,Intermittent,TRUE,2020,Adecoagro SA,5001431073,Adecoagro SA,5001431073,Adecoagro SA,5001431073,,
,Brazil,Sugar cane,2020,,ADECOAGRO,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2020,Adecoagro SA,5001431073,Adecoagro SA,5001431073,Adecoagro SA,5001431073,,
