producer_country,commodity,exporter_group,fin_flows,legal_entity
Brazil,Cattle meat,BARRA MANSA COMERCIO DE CARNES E DERIVADOS,FALSE,TRUE
Ecuador,Cocoa beans,BARRY CALLEBAUT ECUADOR S A,TRUE,TRUE
Colombia,Cattle meat,BASTO BAUTISTA YESID LEONEL EXPS BASTOS,FALSE,FALSE
Brazil,Cattle meat,BERTIN S.A.,TRUE,TRUE
Brazil,Soya beans,BIANCHINI,FALSE,TRUE
Brazil,Oil palm fruit,BIOPALMA DA AMAZONIA S.A. REFLORESTAMENTO INDUSTRIA E C,TRUE,TRUE
Colombia,Cattle meat,BLANCO GUERRERO JAIRO,FALSE,FALSE
Colombia,Cattle meat,BLANCOMER S A S,FALSE,FALSE
Peru,Cocoa beans,BLUE PACIFIC OILS S.A.,FALSE,TRUE
Brazil,Cattle meat,BOI BRANCO COMERCIAL EXPORTACAO E IMPORTACAO DE BOVINOS EIR,FALSE,FALSE
Brazil,Cattle meat,BOI BRANCO INTERNATIONAL TRADING LTDA,FALSE,FALSE
Brazil,Soya beans,BOM JESUS AGROPECUARIA,FALSE,TRUE
Brazil,Cattle meat,BON-MART FRIGORIFICO LTDA,FALSE,TRUE
Brazil,Sugar cane,BP BIOENERGIA,TRUE,TRUE
Peru,Cocoa beans,BPO TRADING S A C,FALSE,TRUE
Colombia,Cattle meat,BRANGUS Y ANGUS S A S,FALSE,FALSE
Brazil,Soya beans,BRASIL PISOS INDUSTRIA DE ARTEFATOS DE MADEIRA,FALSE,FALSE
Brazil,Cattle meat,BRASLO PRODUTOS DE CARNE,FALSE,TRUE
Brazil,Cattle meat,BRAVEX COMERCIAL IMPORTADORA E EXPORTADORA,FALSE,TRUE
Brazil,Soya beans,BREJEIRO,FALSE,TRUE
Brazil,Cattle meat,BRF,TRUE,TRUE
Brazil,Cattle meat,BUBRAS PARTICIPACOES E INVESTIMENTOS LTDA,FALSE,FALSE
Brazil,Cattle meat,BULL LOG TRADING IMPORTACAO E EXPORTACAO LTDA EPP,FALSE,FALSE
Brazil,Soya beans,BUNGE,TRUE,TRUE
Brazil,Sugar cane,BUNGE,TRUE,TRUE
Colombia,Cattle meat,C I AGROP DEL ORIENTE S A S,FALSE,FALSE
Colombia,Cattle meat,C I ANDINA DEL ORIENTE LTDA,FALSE,TRUE
Colombia,Cattle meat,C I ANDINEX DE COLOMBIA S A S,FALSE,FALSE
Colombia,Cattle meat,C I BARBATUSCAS S A S,FALSE,FALSE
Colombia,Cattle meat,C I CG EXPORT E U,FALSE,FALSE
Colombia,Cattle meat,C I COLANDINA CIAL S A S,FALSE,FALSE
Colombia,Cattle meat,C I DE PRODS COLOMBIANOS C I PROCOL S A S,FALSE,FALSE
Colombia,Cattle meat,C I DERIVADOS Y SUBPRODUCTOS DE SANTANDER S A S,FALSE,FALSE
Colombia,Cattle meat,C I EXPORIENTE S A,FALSE,FALSE
Colombia,Cattle meat,C I FERKA EXPORT LTDA,FALSE,FALSE
Colombia,Cattle meat,C I FORTALEZA ASOCIADOS S A S,FALSE,TRUE
Colombia,Cattle meat,C I IMCOPEC LTDA,FALSE,FALSE
Colombia,Cattle meat,C I MULTICARNICOS S A,FALSE,FALSE
Colombia,Cattle meat,C I SOC AGROP EL RANCHO LTDA,FALSE,FALSE
Colombia,Cattle meat,C I SURAMERICANA DE INVS LTDA,FALSE,TRUE
Colombia,Cattle meat,C I WEST POINT CO S A,FALSE,FALSE
Brazil,Soya beans,C. VALE,TRUE,TRUE
Colombia,Cocoa beans,CACAO DE COLOMBIA S A S,FALSE,TRUE
Colombia,Cocoa beans,CACAO PACIFICO S A,FALSE,FALSE
Ecuador,Cocoa beans,CACAOS FINOS ECUATORIANOS S A CAFIESA,FALSE,TRUE
Peru,"Coffee, green",CAFE MONTEVERDE EIRL,FALSE,FALSE
Peru,Cocoa beans,CAFETALERA AMAZONICA S.A.C.,FALSE,TRUE
Peru,"Coffee, green",CAFETALERA AMAZONICA S.A.C.,FALSE,TRUE
Colombia,Cocoa beans,CAFEXPORT S A R L SUC COL,FALSE,TRUE
Bolivia,Soya beans,CAINSA SRL,FALSE,FALSE
Brazil,Cattle meat,CAJURU INDUSTRIA E COMERCIO DE ALIMENTOS,FALSE,TRUE
Colombia,Cattle meat,CAMAGUEY S A AGROP CAMAGUEY CURT CAMAGUEY,FALSE,FALSE
Brazil,Sugar cane,CANEX EXPORTACAO LTDA,FALSE,TRUE
Brazil,Cattle meat,CANTU COMERCIO DE PNEUMATICOS,FALSE,FALSE
Brazil,Soya beans,CARAMURU,TRUE,TRUE
Colombia,"Coffee, green",CARCAFE LTD,TRUE,TRUE
Bolivia,Soya beans,CARGILL,TRUE,TRUE
Brazil,Soya beans,CARGILL,TRUE,TRUE
Ecuador,Cocoa beans,CARGILL DEL ECUADOR CARGILLECUADOR CIA LTD,TRUE,TRUE
Brazil,Soya beans,CARLOS ALBERTO POLATO,FALSE,TRUE
Brazil,Soya beans,CAROL SODRU SA,FALSE,TRUE
Peru,Cocoa beans,CASA LUKER DEL PERU S A C,FALSE,FALSE
Brazil,Sugar cane,CENTRAL ACUCAREIRA SANTO ANTONIO,FALSE,TRUE
Brazil,Sugar cane,CENTRAL ENERGETICA VALE DO SAPUCAI,TRUE,TRUE
Peru,"Coffee, green",CENTRAL FRONTERIZA NORTE CAFETALEROS,FALSE,FALSE
Brazil,Soya beans,CERVEJARIA PETROPOLIS,FALSE,TRUE
Brazil,Soya beans,CGG,TRUE,TRUE
Ecuador,Cocoa beans,CHOCOLATES FINOS NALS COFINA S A,FALSE,FALSE
Brazil,Soya beans,CHS,TRUE,TRUE
Ecuador,Cocoa beans,CIA AGROCOMERCIAL PANCHANA Y ZAMBRANO S A,FALSE,FALSE
Colombia,"Coffee, green",CIA CAFETERA LA MESETA S A,FALSE,TRUE
Colombia,Cocoa beans,CIA COL DE CACAO S A S,FALSE,FALSE
Peru,"Coffee, green",CIA.INTERNACIONAL DEL CAFE S.A.C.,FALSE,FALSE
Colombia,Cattle meat,CIALZ SOLGAN TRADING S A S,FALSE,TRUE
Colombia,Cattle meat,CIALZDORA AAA PRODS S A S,FALSE,FALSE
Ecuador,Cocoa beans,CIALZDORA DE PRODS AGRICOLAS ZAMBRANO VELEZ AGROZAMVELSA S A,FALSE,TRUE
Colombia,Cattle meat,CIALZDORA DERIVADOS CARNICOS S A S,FALSE,FALSE
Colombia,Cattle meat,CIALZDORA INTL AGROINVERSIONES H2R S A S,FALSE,FALSE
Colombia,Cattle meat,CIALZDORA INTL C I ALDESAN S A,FALSE,FALSE
Colombia,Cattle meat,CIALZDORA INTL C I GUAMAL S A,FALSE,FALSE
Colombia,Cattle meat,CIALZDORA MUNDIORIENTE S A S,FALSE,FALSE
Colombia,Cattle meat,CIALZDORA TRIPLE UNO E U,FALSE,FALSE
Colombia,Cattle meat,CIALZDORA Y EXPDORA BALDONY S A S,FALSE,FALSE
Ecuador,Cocoa beans,CIALZDORA Y EXPDORA DE CACAO,FALSE,FALSE
Brazil,Soya beans,CJ INTERNATIONAL BRASIL COMERCIAL AGRICOLA LTDA.,FALSE,TRUE
Brazil,Soya beans,CKBV FLORESTAL,FALSE,TRUE
Brazil,Sugar cane,CLEALCO ACUCAR E ALCOOL,TRUE,TRUE
Colombia,Cattle meat,CMN GLOBAL TRADING GROUP S A S CREACIONES MI NENITA LTDA,FALSE,FALSE
Brazil,Soya beans,COFCO,TRUE,TRUE
Brazil,Sugar cane,COFCO,TRUE,TRUE
Peru,"Coffee, green",COFFEE GREEN S R L,FALSE,FALSE
Colombia,Cocoa beans,COLCOCOA S A S,FALSE,TRUE
Colombia,Cattle meat,COLGOODS S A S,FALSE,FALSE
Brazil,Cattle meat,COMCARNE COMERCIAL DE CARNE LTDA.,FALSE,TRUE
Brazil,Cattle meat,COMERCIAL DE ALIMENTOS TALISMA,FALSE,TRUE
Bolivia,Soya beans,COMERCIAL INDUSTRIAL AGROPECUARIA CIAGRO SA,FALSE,TRUE
Peru,"Coffee, green",COMERCIO & CIA S.A,FALSE,TRUE
Peru,"Coffee, green",COMERCIO AMAZONIA S A,FALSE,TRUE
Colombia,Cocoa beans,COMESTIBLES ITALO SA,FALSE,TRUE
Peru,Cocoa beans,COMITE CENTRAL CON DESARROLLO AL FUTURO,FALSE,FALSE
Peru,Cocoa beans,COMPAIA NACIONAL DE CHOCOLATES DE PERU,FALSE,TRUE
Brazil,Sugar cane,COMPANHIA ENERGETICA SAO JOSE,FALSE,FALSE
Brazil,Oil palm fruit,COMPANHIA REFINADORA DA AMAZONIA,FALSE,TRUE
Colombia,Cocoa beans,COMPANIA COLOMBIANA AGROINDUSTRIAL SAS,FALSE,TRUE
Peru,Cocoa beans,COMPANIA NACIONAL DE CHOCOLATES DE PERU,FALSE,TRUE
Colombia,Cocoa beans,COMPANIA NACIONAL DE CHOCOLATES SAS,FALSE,TRUE
Brazil,Soya beans,CONACENTRO COOPERATIVA DOS PRODUTORES DO CENTRO OESTE,FALSE,TRUE
Brazil,Cattle meat,CONFIDENCE COMERCIO E SERVICOS LTDA - ME,FALSE,FALSE
Brazil,Cattle meat,CONQUISTA COMERCIO E EXPORTACAO DE ALIMENTOS LTDA,FALSE,FALSE
Brazil,Cattle meat,CONSTRUTORA NORBERTO ODEBRECHT,TRUE,TRUE
Peru,Cocoa beans,COOP AGRAR CAFETALERA ORO VERDE LTDA,FALSE,FALSE
Peru,"Coffee, green",COOP AGRARIA CAF. FRONTERA DE SAN IGNACI,FALSE,TRUE
Peru,Cocoa beans,COOP AGRARIA CAFET VALLE RIO APURIMAC,FALSE,FALSE
Peru,"Coffee, green",COOP AGRARIA CAFETALERA BAGUA GRANDE LTD,FALSE,TRUE
Peru,Cocoa beans,COOP AGRARIA CAFETALERA EL QUINACHO L 78,FALSE,FALSE
Peru,Cocoa beans,COOPERATIVA AGRARIA CACAOTERA ACOPAGRO,FALSE,TRUE
Peru,"Coffee, green",COOPERATIVA AGRARIA CAFETALERA ALTO MAYO,FALSE,TRUE
Peru,"Coffee, green",COOPERATIVA AGRARIA CAFETALERA LA FLORID,FALSE,TRUE
Peru,Cocoa beans,COOPERATIVA AGRARIA CAFETALERA PANGOA LT,FALSE,FALSE
Peru,"Coffee, green",COOPERATIVA AGRARIA CAFETALERA SOSTENIBL,FALSE,FALSE
Peru,"Coffee, green",COOPERATIVA AGRARIA CAFETELERA LA PROSP,FALSE,TRUE
Peru,Cocoa beans,COOPERATIVA AGRARIA CAFETERA DIVISORIA L,FALSE,FALSE
Peru,Cocoa beans,COOPERATIVA AGRARIA CENTRAL DE CACAO ARO,FALSE,FALSE
Peru,Cocoa beans,COOPERATIVA AGRARIA DE CACAO AROMATICO C,FALSE,FALSE
Peru,Cocoa beans,COOPERATIVA AGRARIA DE SERVICIOS MULTIPL,FALSE,FALSE
Peru,"Coffee, green",COOPERATIVA AGRARIA DE SERVICIOS MULTIPL,FALSE,FALSE
Peru,"Coffee, green",COOPERATIVA AGRARIA ECOLOGICA CAFETALERA,FALSE,FALSE
Peru,Cocoa beans,COOPERATIVA AGRARIA INDUSTRIAL NARANJILL,FALSE,TRUE
Peru,"Coffee, green",COOPERATIVA AGRARIA RODRIGUEZ DE MENDOZA,FALSE,FALSE
Peru,"Coffee, green",COOPERATIVA AGRARIA Y SERVICIOS MULTIPLE,FALSE,FALSE
Brazil,Sugar cane,COOPERATIVA AGRICOLA REGIONAL DE PRODUTORES DE CANA LTD,FALSE,TRUE
Peru,"Coffee, green",COOPERATIVA AGROECOLOGICA INDUSTRIAL JUA,FALSE,FALSE
Peru,Cocoa beans,COOPERATIVA AGROINDUSTRIAL TOCACHE LTDA,FALSE,FALSE
Brazil,Sugar cane,"COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A",FALSE,TRUE
Brazil,Sugar cane,"COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E ALCOOL",FALSE,TRUE
Peru,Cocoa beans,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,FALSE,FALSE
Peru,"Coffee, green",COOPERATIVA DE SERVICIOS MULTIPLES NORAN,FALSE,FALSE
Peru,"Coffee, green",COOPERATIVA DE SERVICIOS MULTIPLES SOL&C,FALSE,FALSE
Brazil,Cattle meat,COOPERATIVA DOS PRODUTORES DE CARNE E DERIVADOS DE GURUPI,FALSE,TRUE
Brazil,Sugar cane,COPERTRADING COMERCIO EXPORTACAO E IMPORTACAO,FALSE,TRUE
Brazil,Sugar cane,COPLASA - ACUCAR E ALCOOL,TRUE,TRUE
Brazil,Cattle meat,COREX IMPORTACAO E EXPORTACAO,FALSE,FALSE
Colombia,Cattle meat,CORTES RUIZ MARCO FIDEL,FALSE,FALSE
Brazil,Cattle meat,CP COMERCIAL LTDA,FALSE,FALSE
Peru,Cocoa beans,CUENCAS DEL HUALLAGA ASOCIACION DE PRODU,FALSE,FALSE
Colombia,Cattle meat,CURTIDOS DE COLOMBIA GROUP S A S,FALSE,TRUE
Brazil,Soya beans,CUTRALE,FALSE,TRUE
Brazil,Sugar cane,CZARNIKOW BRASIL LTDA.,FALSE,TRUE
Colombia,Cocoa beans,D ORIGENN S A S,FALSE,TRUE
Brazil,Sugar cane,DA MATA S.A. - ACUCAR E ALCOOL,FALSE,TRUE
Peru,Cocoa beans,DE GUSTE GROUP S A C,FALSE,FALSE
Colombia,Cattle meat,DGF INTL S A S,FALSE,FALSE
Brazil,Cattle meat,DHL GLOBAL FORWARDING BRAZIL LOGISTICS LTDA,FALSE,TRUE
Colombia,Cattle meat,DIAZ PUERTO JAIRO ENRIQUE Y O EXPS JAIRO ENRIQ DIAZ,FALSE,FALSE
Colombia,Cattle meat,DIAZ ROZO FABIAN GUSTAVO EXPODIAZ,FALSE,FALSE
Colombia,Cattle meat,DIST CARNICA DE LA COSTA S A S,FALSE,FALSE
Colombia,Cattle meat,DISTRIB JAGME S A S,FALSE,FALSE
Brazil,Cattle meat,DISTRIBOI INDUSTRIA COMERCIO E TRANSPORTE DE CARNE BOVINA,FALSE,TRUE
Brazil,Cattle meat,DISTRIBUIDORA DE CARNES EQUATORIAL LTDA,FALSE,FALSE
Brazil,Cattle meat,DISTRIBUIDORA DE CARNES VALE DO MOGI IMP & EXP LTDA,FALSE,TRUE
Colombia,Cattle meat,DUARTE RUIZ EDGAR GERARDO,FALSE,FALSE
Colombia,Cattle meat,DUARTE SANCHEZ MILTON ALFONSO CIALZ DE GANADO,FALSE,FALSE
Brazil,Sugar cane,E D & F MAN BRASIL S/A.,TRUE,TRUE
Ecuador,Cocoa beans,ECO KAKAO S A,FALSE,TRUE
Peru,Cocoa beans,ECOANDINO S.A.C.,FALSE,TRUE
Peru,Cocoa beans,ECOMMODITIES SOCIEDAD ANONIMA CERRADA _,FALSE,FALSE
Brazil,Cattle meat,ECOWHITE TRADING LTDA,FALSE,FALSE
Ecuador,Cocoa beans,ECUADOR COCOA Y COFFEE ECUACOFFEE S A,FALSE,FALSE
Ecuador,Cocoa beans,ECUADOR KAKAO PROCESSING PROECUAKAO S A,FALSE,TRUE
Brazil,Cattle meat,ELEVEN BRAZIL IMPORTACAO E EXPORTACAO,FALSE,FALSE
Bolivia,Soya beans,EMPRESA AGROINDUSTRIAL D F &R SRL,FALSE,FALSE
Bolivia,Soya beans,EMPRESA AGROINDUSTRIAL FIDERO SRL,FALSE,FALSE
Brazil,Sugar cane,ENERFO SUGAR DO BRASIL LTDA.,FALSE,TRUE
Brazil,Soya beans,ENGELHART,TRUE,TRUE
Colombia,"Coffee, green",ENGELHART CTP COLOMBIA S A S,TRUE,TRUE
Ecuador,Cocoa beans,EXPDORA DE CACAO BABAHOYO BABAHOYOEX,FALSE,TRUE
Ecuador,Cocoa beans,EXPDORA MANABI EXPORTMANABI S A,FALSE,FALSE
Ecuador,Cocoa beans,EXPDORA MLOPEZ CIA LTD,FALSE,FALSE
Ecuador,Cocoa beans,EXPDORA Y IMPDORA KAM S A EXIKAM,FALSE,FALSE
Colombia,Cattle meat,EXPOAMERICANA DE INVS S A S,FALSE,FALSE
Colombia,Cattle meat,EXPOGANADOS INTL S A S,FALSE,TRUE
Peru,"Coffee, green",EXPOIMP BEVIPERU EIRL,FALSE,FALSE
Colombia,Cattle meat,EXPOMERX S A S,FALSE,FALSE
Peru,"Coffee, green",EXPORT IMPORT AYLEN E I R L,FALSE,FALSE
Peru,"Coffee, green",EXPORT IMPORT CANDRES S.A.C.,FALSE,FALSE
Peru,Cocoa beans,EXPORTADORA ROMEX,FALSE,TRUE
Peru,"Coffee, green",EXPORTADORA ROMEX,FALSE,TRUE
Colombia,Cocoa beans,FED NAL DE CACAOTEROS,FALSE,FALSE
Colombia,"Coffee, green",FEDERACION NACIONAL DE CAFETEROS DE COLOMBIA,FALSE,TRUE
Brazil,Soya beans,FERTIMIG FERTILIZANTES,FALSE,FALSE
Brazil,Soya beans,FERTITEX AGRO - FERTILIZANTES E PRODUTOS AGROPECUARIOS LTDA,FALSE,TRUE
Brazil,Soya beans,FIAGRIL,TRUE,TRUE
Peru,"Coffee, green",FINCA CHURUPAMPA PERU S A C,FALSE,FALSE
Colombia,Cattle meat,FOOD TRADERS WORLDWIDE S A S,FALSE,TRUE
Brazil,Cattle meat,FRIGOESTRELA SA,FALSE,TRUE
Brazil,Cattle meat,FRIGOL,FALSE,TRUE
Brazil,Cattle meat,FRIGORIFICO ARAPUTANGA SA,FALSE,TRUE
Brazil,Cattle meat,FRIGORIFICO BETTER BEEF,FALSE,TRUE
Brazil,Cattle meat,FRIGORIFICO BIG BOI,FALSE,TRUE
Colombia,Cattle meat,FRIGORIFICO DEL SINU FRIGOSINU S A,FALSE,TRUE
Brazil,Cattle meat,FRIGORIFICO ELDORADO S/A,FALSE,TRUE
Brazil,Cattle meat,FRIGORIFICO FORTEFRIGO,FALSE,TRUE
Brazil,Cattle meat,FRIGORIFICO JR,FALSE,TRUE
Brazil,Cattle meat,FRIGORIFICO MERCOSUL S/A,FALSE,TRUE
Brazil,Cattle meat,FRIGORIFICO NOSSO,FALSE,TRUE
Brazil,Cattle meat,FRIGORIFICO PANTANAL LTDA - ME,FALSE,TRUE
Brazil,Cattle meat,FRIGORIFICO REDENTOR,FALSE,TRUE
Brazil,Cattle meat,FRIGORIFICO RIO MACHADO INDUSTRIA & COMERCIO DE CARNES LTDA,FALSE,TRUE
Brazil,Cattle meat,FRIGORIFICO RIO MARIA,FALSE,TRUE
Brazil,Cattle meat,FRIGORIFICO TANGARA,FALSE,TRUE
Colombia,Cattle meat,FRIGORIFICO VIJAGUAL S A,FALSE,TRUE
Brazil,Cattle meat,FRIGOSOL FRIGORIFICO SUL BAHIA,FALSE,TRUE
Brazil,Cattle meat,FRIGOTIL FRIGORIFICO DE TIMON,FALSE,TRUE
Brazil,Cattle meat,FRIGOXICO ALIMENTOS,FALSE,FALSE
Brazil,Cattle meat,FRISA FRIGORIFICO RIO DOCE,FALSE,TRUE
Brazil,Cattle meat,FRISACRE FRIGORIFICO SANTO AFONSO DO ACRE,FALSE,TRUE
Brazil,Soya beans,GAVILON,TRUE,TRUE
Brazil,Soya beans,GIANCARLOS BAVARESCO,FALSE,FALSE
Brazil,Cattle meat,"GIVOTRADING COMERCIO, IMPORTACAO E EXPORTACAO LTDA",FALSE,FALSE
Brazil,Sugar cane,GLENCANE BIOENERGIA S.A.,FALSE,FALSE
Brazil,Soya beans,GLENCORE,TRUE,TRUE
Colombia,Cattle meat,GLOBAL EXP IMP S A S,FALSE,FALSE
Ecuador,Cocoa beans,GOLDCOCOA EXPORT S A,FALSE,TRUE
Brazil,Cattle meat,GOLDEN GRAIN COMERCIAL DE IMPORTACAO & EXPORTACAO DE ALIMENTOS LTDA,FALSE,FALSE
Brazil,Cattle meat,GOLDEN IMEX,FALSE,TRUE
Ecuador,Cocoa beans,GRANCACAO EXPORT S A,FALSE,TRUE
Colombia,Cattle meat,GRANDEXPORT S A S,FALSE,FALSE
Ecuador,Cocoa beans,GRANDSOUTH S A,FALSE,TRUE
Brazil,Soya beans,GRANULE EXPORTADORA E IMPORTADORA,FALSE,TRUE
Bolivia,Soya beans,GRAVETAL BOLIVIA SA,FALSE,TRUE
Brazil,Cattle meat,GROUP AGRICOLA E EXPORTACAO LTDA.,FALSE,FALSE
Colombia,Cattle meat,GRUPO EMPRESARIAL INEXCO S A S,FALSE,FALSE
Colombia,Cattle meat,GRUPO IMP Y EXP COLOMBIANO GIMEXCOL S A S,FALSE,FALSE
Brazil,Cattle meat,GUAPORE CARNE S/A,FALSE,FALSE
Brazil,Sugar cane,GUARANI,TRUE,TRUE
Brazil,Soya beans,GUSA NORDESTE,FALSE,FALSE
Peru,"Coffee, green",H.V.C.EXPORTACIONES SAC,FALSE,TRUE
Brazil,Soya beans,HOLBUD LTD,FALSE,TRUE
Brazil,Soya beans,HORITA EMPREENDIMENTOS AGRICOLAS,FALSE,TRUE
Bolivia,Soya beans,HUGO SPECHAR GONZALES - GRANOS,FALSE,FALSE
Brazil,Soya beans,HUMBERG AGRIBRASIL COMERCIO E EXPORTACAO DE GRAOS LTDA,FALSE,TRUE
Brazil,Cattle meat,IFC INTERNATIONAL FOOD COMPANY INDUSTRIA DE ALIMENTOS,FALSE,TRUE
Colombia,Cattle meat,IMPS Y EXPS BOGOTA,FALSE,FALSE
