commodity_case,boundary_period,defn_phase_out,commodity,producer_country,manager_country_grouped,financial_flow_link_strength,total_usd_m_normalised_to_sei_trase_by_strength,total_usd_m_normalised_to_sei_trase,rank,manager_country_grouped_link_strength_pct
cattle_meat,3,FALSE,Cattle meat,Colombia,Unknown,High,11.316876643647712,12.407736874425241,6,0.9120822562714072
cattle_meat,3,FALSE,Cattle meat,Colombia,Unknown,Medium,1.0908602307775301,12.407736874425241,6,0.08791774372859286
cattle_meat,3,TRUE,Cattle meat,Brazil,Brazil,High,1162.8193305938594,2236.436614562515,2,0.5199428962225816
cattle_meat,3,TRUE,Cattle meat,Brazil,Brazil,Low,628.7730892589997,2236.436614562515,2,0.28114952382945063
cattle_meat,3,TRUE,Cattle meat,Brazil,Brazil,Medium,444.8441947096571,2236.436614562515,2,0.19890757994796834
cattle_meat,3,TRUE,Cattle meat,Brazil,Canada,High,19.1961432257161,1133.330408446811,4,0.016937817147272816
cattle_meat,3,TRUE,Cattle meat,Brazil,Canada,Low,28.08813873008621,1133.330408446811,4,0.02478371578203748
cattle_meat,3,TRUE,Cattle meat,Brazil,Canada,Medium,1086.0461264910089,1133.330408446811,4,0.95827846707069
cattle_meat,3,TRUE,Cattle meat,Brazil,China,High,9.378899795985632,33.34750372309465,9,0.281247432307514
cattle_meat,3,TRUE,Cattle meat,Brazil,China,Low,15.962388807880199,33.34750372309465,9,0.47866817679745927
cattle_meat,3,TRUE,Cattle meat,Brazil,China,Medium,8.00621511922882,33.34750372309465,9,0.2400843908950269
cattle_meat,3,TRUE,Cattle meat,Brazil,EU27,High,554.5377252625942,2103.020282832958,3,0.26368634187188245
cattle_meat,3,TRUE,Cattle meat,Brazil,EU27,Low,353.2159818224521,2103.020282832958,3,0.16795652648040005
cattle_meat,3,TRUE,Cattle meat,Brazil,EU27,Medium,1195.2665757479097,2103.020282832958,3,0.5683571316477166
cattle_meat,3,TRUE,Cattle meat,Brazil,Gibraltar,Low,16.452602034752186,16.452602034752186,10,1
cattle_meat,3,TRUE,Cattle meat,Brazil,Japan,High,59.320431222481545,417.72498436518833,6,0.14200833908134583
cattle_meat,3,TRUE,Cattle meat,Brazil,Japan,Low,56.71173705577604,417.72498436518833,6,0.13576333515688604
cattle_meat,3,TRUE,Cattle meat,Brazil,Japan,Medium,301.6928160869309,417.72498436518833,6,0.7222283257617685
cattle_meat,3,TRUE,Cattle meat,Brazil,Other countries,High,37.465029284620556,NA,NA,NA
cattle_meat,3,TRUE,Cattle meat,Brazil,Other countries,Medium,7.1790112620093876,NA,NA,NA
cattle_meat,3,TRUE,Cattle meat,Brazil,Switzerland,High,65.72012324629102,176.53318994454463,8,0.3722819672999511
cattle_meat,3,TRUE,Cattle meat,Brazil,Switzerland,Low,34.19341241617598,176.53318994454463,8,0.19369395877861467
cattle_meat,3,TRUE,Cattle meat,Brazil,Switzerland,Medium,76.61965428207763,176.53318994454463,8,0.4340240739214343
cattle_meat,3,TRUE,Cattle meat,Brazil,United Kingdom,High,115.71786791594037,961.9875400023741,5,0.12029040201046137
cattle_meat,3,TRUE,Cattle meat,Brazil,United Kingdom,Low,207.37551128508662,961.9875400023741,5,0.2155698516475326
cattle_meat,3,TRUE,Cattle meat,Brazil,United Kingdom,Medium,638.8941608013471,961.9875400023741,5,0.664139746342006
cattle_meat,3,TRUE,Cattle meat,Brazil,United States of America,High,494.7137822545262,2655.6025156403525,1,0.18629059858953875
cattle_meat,3,TRUE,Cattle meat,Brazil,United States of America,Low,237.57695698789985,2655.6025156403525,1,0.08946254403235203
cattle_meat,3,TRUE,Cattle meat,Brazil,United States of America,Medium,1923.3117763979208,2655.6025156403525,1,0.7242468573781071
cattle_meat,3,TRUE,Cattle meat,Brazil,Unknown,High,148.1885427875332,365.64029267354726,7,0.40528504586839836
cattle_meat,3,TRUE,Cattle meat,Brazil,Unknown,Low,39.34455716395145,365.64029267354726,7,0.10760454455461026
cattle_meat,3,TRUE,Cattle meat,Brazil,Unknown,Medium,178.1071927220627,365.64029267354726,7,0.48711040957699164
cattle_meat,3,TRUE,Cattle meat,Colombia,Brazil,High,20.231326837450013,212.63573137470806,2,0.09514547111462766
cattle_meat,3,TRUE,Cattle meat,Colombia,Brazil,Medium,192.40440453725802,212.63573137470806,2,0.9048545288853722
cattle_meat,3,TRUE,Cattle meat,Colombia,EU27,High,3.43200885725315,12.063916122968111,6,0.28448547074353875
cattle_meat,3,TRUE,Cattle meat,Colombia,EU27,Medium,8.631907265714961,12.063916122968111,6,0.7155145292564613
cattle_meat,3,TRUE,Cattle meat,Colombia,Switzerland,Medium,65.3850338031016,65.3850338031016,3,1
cattle_meat,3,TRUE,Cattle meat,Colombia,United Kingdom,High,5.41189349083819,22.513325624091564,4,0.24038623085728877
cattle_meat,3,TRUE,Cattle meat,Colombia,United Kingdom,Medium,17.101432133253372,22.513325624091564,4,0.7596137691427111
cattle_meat,3,TRUE,Cattle meat,Colombia,United States of America,High,4.437776180047715,711.8581585868625,1,0.0062340736374467045
cattle_meat,3,TRUE,Cattle meat,Colombia,United States of America,Medium,707.4203824068148,711.8581585868625,1,0.9937659263625533
cattle_meat,3,TRUE,Cattle meat,Colombia,Unknown,High,11.316876643647712,12.407736874425241,5,0.9120822562714072
cattle_meat,3,TRUE,Cattle meat,Colombia,Unknown,Medium,1.0908602307775301,12.407736874425241,5,0.08791774372859286
cocoa_beans,0,FALSE,Cocoa beans,Ecuador,Australia,Low,124.16155476491538,1023.5654686685812,9,0.12130299288664013
cocoa_beans,0,FALSE,Cocoa beans,Ecuador,Australia,Medium,899.4039139036657,1023.5654686685812,9,0.8786970071133599
cocoa_beans,0,FALSE,Cocoa beans,Ecuador,Canada,Low,395.0166637853494,2366.6287954328573,8,0.16691112038679506
cocoa_beans,0,FALSE,Cocoa beans,Ecuador,Canada,Medium,1971.6121316475073,2366.6287954328573,8,0.8330888796132048
cocoa_beans,0,FALSE,Cocoa beans,Ecuador,China,Low,47.69912221571537,233.35586331367662,10,0.2044050727433331
cocoa_beans,0,FALSE,Cocoa beans,Ecuador,China,Medium,185.6567410979613,233.35586331367662,10,0.795594927256667
cocoa_beans,0,FALSE,Cocoa beans,Ecuador,EU27,High,20.25154556922316,9752.930927210542,2,0.0020764573973062425
cocoa_beans,0,FALSE,Cocoa beans,Ecuador,EU27,Low,2206.951175694996,9752.930927210542,2,0.22628594339139968
cocoa_beans,0,FALSE,Cocoa beans,Ecuador,EU27,Medium,7525.728205946295,9752.930927210542,2,0.7716375992112913
cocoa_beans,0,FALSE,Cocoa beans,Ecuador,Japan,Low,843.0242670156127,2927.967138659558,7,0.2879213553610969
cocoa_beans,0,FALSE,Cocoa beans,Ecuador,Japan,Medium,2084.9428716439443,2927.967138659558,7,0.7120786446389028
cocoa_beans,0,FALSE,Cocoa beans,Ecuador,Other countries,High,40.50309113844632,NA,NA,NA
