boundary_period,defn_phase_out,commodity,producer_country,manager_country_grouped,financial_flow_link_strength,total_usd_m_normalised_to_sei_trase_by_strength,total_usd_m_normalised_to_sei_trase,rank_overall,manager_country_grouped_link_strength_pct
0,FALSE,Soya beans,Bolivia,UK,Medium,64.29645745416913,29691.568317166657,4,0.0021654786560060253
0,FALSE,Soya beans,Bolivia,USA,Low,5.589108854747424,55712.04591207625,2,1.0032137149599668e-4
0,FALSE,Soya beans,Bolivia,USA,Medium,669.5010170828984,55712.04591207625,2,0.012017168031120108
0,FALSE,Soya beans,Bolivia,Unknown,Low,0.8862271615829429,10103.405722470117,8,8.771568577236893e-5
0,FALSE,Soya beans,Bolivia,Unknown,Medium,1.0524394687376857,10103.405722470117,8,1.0416680252650306e-4
0,FALSE,Soya beans,Brazil,Australia,High,21.17283989325637,5796.549160673374,10,0.003652662869988799
0,FALSE,Soya beans,Brazil,Australia,Low,1765.3593935264869,5796.549160673374,10,0.3045535101303977
0,FALSE,Soya beans,Brazil,Australia,Medium,693.0199147761581,5796.549160673374,10,0.11955732549944445
0,FALSE,Soya beans,Brazil,Brazil,High,541.9680271354296,9133.99598022611,9,0.05933526008865326
0,FALSE,Soya beans,Brazil,Brazil,Low,184.9993658519264,9133.99598022611,9,0.020253935545015075
0,FALSE,Soya beans,Brazil,Brazil,Medium,345.1294912546042,9133.99598022611,9,0.03778515909156998
0,FALSE,Soya beans,Brazil,Canada,High,100.93098792809948,10248.207445716513,7,0.009848648016028017
0,FALSE,Soya beans,Brazil,Canada,Low,2323.317310430432,10248.207445716513,7,0.22670475034163354
0,FALSE,Soya beans,Brazil,Canada,Medium,932.6988719156132,10248.207445716513,7,0.09101092818973501
0,FALSE,Soya beans,Brazil,China,High,70.6982717143919,11127.681747901785,6,0.006353369310523518
0,FALSE,Soya beans,Brazil,China,Low,3113.8166149035824,11127.681747901785,6,0.27982617453008285
0,FALSE,Soya beans,Brazil,China,Medium,1192.9612432596648,11127.681747901785,6,0.1072066285041453
0,FALSE,Soya beans,Brazil,EU27,High,734.4597519000478,67220.76973619133,1,0.010926083631330664
0,FALSE,Soya beans,Brazil,EU27,Low,11102.324433361122,67220.76973619133,1,0.1651621139854887
0,FALSE,Soya beans,Brazil,EU27,Medium,6187.062053773513,67220.76973619133,1,0.09204092839244044
0,FALSE,Soya beans,Brazil,Japan,High,206.96621373027006,39196.83003154959,3,0.00528017733994516
0,FALSE,Soya beans,Brazil,Japan,Low,23085.15570074128,39196.83003154959,3,0.5889546599089774
0,FALSE,Soya beans,Brazil,Japan,Medium,2778.1765060515395,39196.83003154959,3,0.07087758126908174
0,FALSE,Soya beans,Brazil,Other countries,High,72.21315969250209,NA,NA,NA
0,FALSE,Soya beans,Brazil,Other countries,Low,6133.311089619324,NA,NA,NA
0,FALSE,Soya beans,Brazil,Other countries,Medium,1041.176190962535,NA,NA,NA
0,FALSE,Soya beans,Brazil,Switzerland,High,83.29838871793369,13006.231642939701,5,0.006404498320860782
0,FALSE,Soya beans,Brazil,Switzerland,Low,1836.7802196311052,13006.231642939701,5,0.1412230898277275
0,FALSE,Soya beans,Brazil,Switzerland,Medium,302.0177816629241,13006.231642939701,5,0.02322100589580621
0,FALSE,Soya beans,Brazil,UK,High,107.67969974029458,29691.568317166657,4,0.003626608692072282
0,FALSE,Soya beans,Brazil,UK,Low,3825.8150564267635,29691.568317166657,4,0.12885190218176543
0,FALSE,Soya beans,Brazil,UK,Medium,3070.1242309147046,29691.568317166657,4,0.10340054112734971
0,FALSE,Soya beans,Brazil,USA,High,455.835613549919,55712.04591207625,2,0.008181993787650709
0,FALSE,Soya beans,Brazil,USA,Low,10608.041664157765,55712.04591207625,2,0.19040840253648528
0,FALSE,Soya beans,Brazil,USA,Medium,8906.87502317548,55712.04591207625,2,0.15987341475902986
0,FALSE,Soya beans,Brazil,Unknown,High,125.83774640570685,10103.405722470117,8,0.01245498298913622
0,FALSE,Soya beans,Brazil,Unknown,Low,2636.5972332760457,10103.405722470117,8,0.26096123482522493
0,FALSE,Soya beans,Brazil,Unknown,Medium,191.0638900261405,10103.405722470117,8,0.01891084009436657
0,FALSE,Sugar cane,Brazil,Australia,High,38.47138876183889,5796.549160673374,10,0.00663694686191012
0,FALSE,Sugar cane,Brazil,Australia,Low,886.3018326600339,5796.549160673374,10,0.15290163303938475
0,FALSE,Sugar cane,Brazil,Australia,Medium,677.3233633791157,5796.549160673374,10,0.11684941240115909
0,FALSE,Sugar cane,Brazil,Brazil,High,2785.3880984125626,9133.99598022611,9,0.30494737510751685
0,FALSE,Sugar cane,Brazil,Brazil,Low,625.2203541427148,9133.99598022611,9,0.06844981708950103
0,FALSE,Sugar cane,Brazil,Brazil,Medium,693.5017728599659,9133.99598022611,9,0.07592534246361672
0,FALSE,Sugar cane,Brazil,Canada,High,182.90733758332246,10248.207445716513,7,0.017847739573204388
0,FALSE,Sugar cane,Brazil,Canada,Low,749.3970902143707,10248.207445716513,7,0.07312469953246306
0,FALSE,Sugar cane,Brazil,Canada,Medium,397.3175859085172,10248.207445716513,7,0.0387694714429874
0,FALSE,Sugar cane,Brazil,China,High,101.36381988471406,11127.681747901785,6,0.009109158779080561
0,FALSE,Sugar cane,Brazil,China,Low,4622.567136143387,11127.681747901785,6,0.4154115152524927
0,FALSE,Sugar cane,Brazil,China,Medium,1163.7961628819478,11127.681747901785,6,0.10458568004080375
0,FALSE,Sugar cane,Brazil,EU27,High,2312.3826112831716,67220.76973619133,1,0.034399823452753414
0,FALSE,Sugar cane,Brazil,EU27,Low,24218.790371140145,67220.76973619133,1,0.36028731099312106
0,FALSE,Sugar cane,Brazil,EU27,Medium,4819.744465014529,67220.76973619133,1,0.07170022723526777
0,FALSE,Sugar cane,Brazil,Japan,High,371.63581061571136,39196.83003154959,3,0.009481272090538473
0,FALSE,Sugar cane,Brazil,Japan,Low,6645.0706624007535,39196.83003154959,3,0.1695308181057531
0,FALSE,Sugar cane,Brazil,Japan,Medium,1236.5914178492787,39196.83003154959,3,0.03154825063286864
0,FALSE,Sugar cane,Brazil,Other countries,High,129.48277886369382,NA,NA,NA
0,FALSE,Sugar cane,Brazil,Other countries,Low,2746.5635378807865,NA,NA,NA
0,FALSE,Sugar cane,Brazil,Other countries,Medium,894.9298125645988,NA,NA,NA
0,FALSE,Sugar cane,Brazil,Switzerland,High,200.59098810540806,13006.231642939701,5,0.015422683034735646
0,FALSE,Sugar cane,Brazil,Switzerland,Low,3859.1320392481884,13006.231642939701,5,0.29671407869650535
0,FALSE,Sugar cane,Brazil,Switzerland,Medium,242.5462475435028,13006.231642939701,5,0.01864846438246904
0,FALSE,Sugar cane,Brazil,UK,High,357.0273866418123,29691.568317166657,4,0.012024537836062745
0,FALSE,Sugar cane,Brazil,UK,Low,11211.478714989495,29691.568317166657,4,0.3775980640439056
0,FALSE,Sugar cane,Brazil,UK,Medium,1803.1851556540644,29691.568317166657,4,0.060730546005261836
0,FALSE,Sugar cane,Brazil,USA,High,792.7893712251223,55712.04591207625,2,0.014230124890338584
0,FALSE,Sugar cane,Brazil,USA,Low,17023.68848183098,55712.04591207625,2,0.3055656672292642
0,FALSE,Sugar cane,Brazil,USA,Medium,2850.6157164311185,55712.04591207625,2,0.05116695446672177
0,FALSE,Sugar cane,Brazil,Unknown,High,156.8103416053304,10103.405722470117,8,0.015520542865717248
0,FALSE,Sugar cane,Brazil,Unknown,Low,809.8010896085019,10103.405722470117,8,0.08015129866629951
0,FALSE,Sugar cane,Brazil,Unknown,Medium,112.71640000515295,10103.405722470117,8,0.011156277704900049
0,TRUE,Cattle meat,Brazil,Australia,Medium,6.886261871356179,5796.549160673374,10,0.0011879933526788575
0,TRUE,Cattle meat,Brazil,Brazil,High,1300.5676471319505,9133.99598022611,9,0.14238758698246715
0,TRUE,Cattle meat,Brazil,Brazil,Low,606.4860457573716,9133.99598022611,9,0.06639876425064489
0,TRUE,Cattle meat,Brazil,Brazil,Medium,398.47243205392965,9133.99598022611,9,0.043625203352023544
0,TRUE,Cattle meat,Brazil,Canada,High,17.45103929610554,10248.207445716513,7,0.0017028382171752024
0,TRUE,Cattle meat,Brazil,Canada,Low,25.534671572805646,10248.207445716513,7,0.002491623213919082
0,TRUE,Cattle meat,Brazil,Canada,Medium,987.3146604463717,10248.207445716513,7,0.09634022980858412
0,TRUE,Cattle meat,Brazil,China,High,10.569924544960001,11127.681747901785,6,9.498766036288778e-4
0,TRUE,Cattle meat,Brazil,China,Low,14.511262552618364,11127.681747901785,6,0.0013040687972006911
0,TRUE,Cattle meat,Brazil,China,Medium,7.278377381117108,11127.681747901785,6,6.540784995481656e-4
0,TRUE,Cattle meat,Brazil,EU27,High,572.042362132797,67220.76973619133,1,0.008509904965054459
0,TRUE,Cattle meat,Brazil,EU27,Low,332.7301534974136,67220.76973619133,1,0.004949811714492661
0,TRUE,Cattle meat,Brazil,EU27,Medium,1086.178551752658,67220.76973619133,1,0.016158377180377107
0,TRUE,Cattle meat,Brazil,Japan,High,53.9276647477105,39196.83003154959,3,0.0013758169909225833
0,TRUE,Cattle meat,Brazil,Japan,Low,51.556124596160046,39196.83003154959,3,0.001315313624970755
0,TRUE,Cattle meat,Brazil,Japan,Medium,274.2661964426646,39196.83003154959,3,0.006997152479471103
0,TRUE,Cattle meat,Brazil,Other countries,High,41.370401815022305,NA,NA,NA
0,TRUE,Cattle meat,Brazil,Other countries,Low,14.956910940683805,NA,NA,NA
0,TRUE,Cattle meat,Brazil,Other countries,Medium,1.0796639904065728,NA,NA,NA
0,TRUE,Cattle meat,Brazil,Switzerland,High,91.80864444474675,13006.231642939701,5,0.0070588197231274226
0,TRUE,Cattle meat,Brazil,Switzerland,Low,31.084920378341803,13006.231642939701,5,0.002390002056838341
