producer_country,commodity,total_usd_m
Bolivia,Soya beans,121738.91190606747
Brazil,Cattle meat,109755.7035360624
Brazil,Oil palm fruit,35450.047994660425
Brazil,Soya beans,1303117.898760914
Brazil,Sugar cane,664996.4535292996
Colombia,Cattle meat,16307.973303858396
Colombia,Cocoa beans,363.74577901378683
Colombia,"Coffee, green",145268.7124803659
Ecuador,Cocoa beans,586603.889537184
Peru,Cocoa beans,19717.01307343294
Peru,"Coffee, green",208945.24860291462
